# Every number and quantitative claim this page reads out of Froment, De Wilde &
# Bischoff, "Chemical Reactor Analysis and Design", 3rd ed., Wiley (2011),
# Chapter 11, transcribed from 300-450 ppi renders of the book's own pages.
# NOT MEASUREMENTS.  The chapter reports no experiment of its own; every row is
# either a model constant the book states or a result the book states from its
# own computation.  Provenance sidecar: froment-2011-ch11-printed.meta.yaml
#
# `as_printed` is the character string on the page, `value` its numeric reading.
# Rows with kind=claim carry a sentence in `as_printed` and no numeric value.
key,quantity,as_printed,value,unit,section,book_page,kind
alpha_w,wall heat transfer coefficient from Yagi and Kunii's equation,0.156,0.156,kJ/(m2 s K),11.7.3,574,parameter
pe_hr,radial Peclet number for heat,5.25,5.25,-,11.7.3,574,parameter
pe_mr,radial Peclet number for mass,10,10.0,-,11.7.3,574,parameter
Re_1173,Reynolds number of the 11.7.3 case,121,121.0,-,11.7.3,574,parameter
y_A0_1173,inlet mole fraction of hydrocarbon in the 11.7.3 case,0.00924,0.00924,-,11.7.3,574,parameter
dH1_1173,heat of the first reaction,1.285 x 10^6,1285000.0,kJ/kmol,11.7.3,574,parameter
dH3_1173,heat of the third reaction,4.564 x 10^6,4564000.0,kJ/kmol,11.7.3,574,parameter
lnA1_1173,logarithm of the frequency factor of reaction 1,19.837,19.837,-,11.7.3,573,parameter
E1_over_R_1173,activation energy over gas constant of reaction 1,"13,588",13588.0,K,11.7.3,573,parameter
lnA2_1173,logarithm of the frequency factor of reaction 2,20.86,20.86,-,11.7.3,573,parameter
E2_over_R_1173,activation energy over gas constant of reaction 2,"15,803",15803.0,K,11.7.3,573,parameter
lnA3_1173,logarithm of the frequency factor of reaction 3,18.97,18.97,-,11.7.3,573,parameter
E3_over_R_1173,activation energy over gas constant of reaction 3,"14,394",14394.0,K,11.7.3,573,parameter
hotspot_1173,hot spot of the 11.7.3 case at 357 C inlet,about 30,30.0,K,11.7.3,574,stated_result
runaway_2d_1174,inlet temperature at which the two-dimensional model predicts runaway,less than 360,633.15,K,11.7.4,579,stated_result
runaway_1d_1174,inlet temperature at which the equivalent one-dimensional model predicts runaway,365,638.15,K,11.7.4,579,stated_result
equiv1d_claim,the book's own one- versus two-dimensional comparison,"The two-dimensional model predicts runaway at an inlet temperature of less than 360 C, the equivalent one-dimensional model at 365 C. The discrepancy between the predictions of both models grows as the conditions become more severe.",,,11.7.4,579,claim
pe_mr_insensitive_claim,the sensitivity claim made for the radial Peclet number,"the computed results are not very sensitive with respect to Pemr, but very sensitive with respect to lambda_er and alpha_w",,,11.7.3,576,claim
film_dT_1182,gas-to-solid temperature difference in the 11.8.2 startup case,of the order of 1,1.0,K,11.8.2,590,stated_result
film_dT_claim,the claim made for the interfacial temperature difference,"The difference in temperature between the gas and solid is really very small and of the order of 1 C. Yet, this is a very exothermic reaction, and the operating conditions used in these calculations are realistic.",,,11.8.2,590,claim
startup_T0_1182,gas inlet and initial bed temperature of the 11.8.2 startup case,362,635.15,K,11.8.2,590,parameter
mears_constant,constant in Mears' interphase temperature criterion,0.15,0.15,-,11.8.1,588,parameter
baddour_dT_top,gas-to-solid difference at the top of the TVA converter,2.3,2.3,K,11.8.1,588,stated_result
baddour_dT_outlet,gas-to-solid difference at the outlet of the TVA converter,0.4,0.4,K,11.8.1,588,stated_result
isothermal_pellet_claim,the claim made for intraparticle temperature gradients,"Fortunately, even with strongly exothermic reactions the particle is practically isothermal: the main resistance inside the pellet is to mass transfer, and the main resistance in the film surrounding the particle is to heat transfer.",,,11.9.1,598,claim
De_source_claim,where the book sends the reader for the intraparticle coefficients,Numerical values for De and lambda_e are given in Satterfield's book [1970] and in Weisz and Hicks' classical paper on this subject [1962].,,,11.9.1,598,claim
tortuosity_smr,tortuosity factor determined for the steam reforming catalyst,3.54,3.54,-,11.9.1.A,606,parameter
vwf_caption_year,year given for Van Welsenaere and Froment in the caption of Fig. 11.5.3-1,1979,1979.0,-,11.5.3,514,parameter
vwf_text_year,year given for Van Welsenaere and Froment in the running text and reference list,1970,1970.0,-,11.5.3,514,parameter
curve_list_text,the curve list given in the text of Example 11.5.3.A,"The point (1.92; 10) falls well above curves 1, 2, 4, and 5 in Fig. 11.5.3-1, so that the reactor is insensitive.",,,11.5.3.A,521,claim
curve_list_caption,the curve list given in the caption of Fig. 11.5.3-1,"Runaway diagram. Curve 1, Barkelew [1959]; curve 2, Dente and Collina [1964]; curve 3, Hlavacek et al. [1969]; curve 4, Van Welsenaere and Froment [1979]. Curves n = 0 and n = 2 from Morbidelli and Varma [1982].",,,11.5.3,514,claim
crossref_1175,the forward reference given in section 11.5.2 for the fuller kinetics,More complex rate equations for this type of reaction will be used in a later example given in Section 11.7.5.,,,11.5.2,511,claim
fig1152_1_ordinate_unit,the unit on the ordinate label of Fig. 11.5.2-1,"p0, atm",,,11.5.2,512,claim
heat_mass_transfer_claim,what the chapter says about its own model near the threshold,"Note that for the upper part of the curves with pA0 = 0.0181, 0.0182, and 0.019 (Figs. 11.5.2-1 and 11.5.2-2), the model used here is no longer entirely adequate: heat and mass transfer effects would have to be taken into account.",,,11.5.2,513,claim
vwf_R_critical_625,tube radius found to be critical in the second half of Example 11.5.3.A,0.0175,0.0175,m,11.5.3.A,520,stated_result
vwf_C_formula_claim,how Example 11.5.3.A gets the critical radius from Q,"From [displayed] C = Q2 A exp(-E/RT + b) [/displayed] the radius Rt is found to be 0.0175 m.",,,11.5.3.A,520,claim
y_A0_mass_1173,mass concentration the 11.7.3 inlet mole fraction is said to correspond to,44,44.0,g/m3,11.7.3,574,parameter
radial_gradient_claim,what section 11.7.3 says about the radial gradients on this reactor,"Even for this case, which is not particularly drastic, and with a small tube diameter of only 2.54 cm, the radial temperature gradients are severe, as seen from Fig. 11.7.3-2. The temperature in the axis is well above the mean.",,,11.7.3,574,claim
