rate_form,param,m,eta
power,1,4.457296218,0.2242909515
power,1,4.868800693,0.2053651456
power,1,5.318295897,0.1880211216
power,1,5.809289193,0.1721350018
power,1,6.345611749,0.1575882489
power,1,6.931448432,0.1442697154
power,1,7.571370462,0.1320764153
power,1,8.270371084,0.1209135429
power,1,9.033904523,0.1106941045
power,1,9.86792855,0.1013383903
power,1,10.77895096,0.0927734065
power,1,11.77408037,0.0849323232
power,1,12.86108167,0.0777539577
power,1,14.0484366,0.0711822980
power,1,15.34540998,0.0651660661
power,1,16.76212194,0.0596583227
power,1,18.30962695,0.0546160698
power,1,20,0.0500000135
power,2,0.1,0.9955849613
power,2,0.1092321545,0.9947388408
power,2,0.1193166358,0.9937320931
power,2,0.1303321321,0.9925348622
power,2,0.1423645959,0.9911120065
power,2,0.1555079154,0.9894222727
power,2,0.1698646465,0.9874173855
power,2,0.1855468131,0.9850410651
power,2,0.2026767817,0.9822279954
power,2,0.2213882153,0.9789027829
power,2,0.2418271175,0.9749789642
power,2,0.2641529707,0.9703581510
power,2,0.2885399812,0.9649294317
power,2,0.3151784381,0.9585691892
power,2,0.3442761986,0.9511415326
power,2,0.3760603093,0.9424995801
power,2,0.4107787782,0.9324878535
power,2,0.4487025098,0.9209460444
power,2,0.4901274189,0.9077143708
power,2,0.5353767397,0.8926406425
power,2,0.5848035476,0.8755889805
power,2,0.6387935149,0.8564498913
power,2,0.6977679194,0.8351510969
power,2,0.762186932,0.8116682024
power,2,0.8325532074,0.7860340301
power,2,0.9094158061,0.7583453200
power,2,0.9933744787,0.7287655906
power,2,1.085084346,0.6975232843
power,2,1.185261009,0.6649048780
power,2,1.294686137,0.6312433199
power,2,1.414213562,0.5969028158
power,2,1.544775944,0.5622614977
power,2,1.687392046,0.5276937390
power,2,1.843174688,0.4935538200
power,2,2.013339423,0.4601623162
power,2,2.19921403,0.4277960955
power,2,2.402248868,0.3966822680
power,2,2.624028196,0.3669959469
power,2,2.866282534,0.3388613115
power,2,3.130902167,0.3123552476
power,2,3.419951893,0.2875127596
power,2,3.735687137,0.2643333829
power,2,4.080571547,0.2427879324
power,2,4.457296218,0.2228250705
power,2,4.868800693,0.2043773306
power,2,5.318295897,0.1873663780
power,2,5.809289193,0.1717074082
power,2,6.345611749,0.1573126782
power,2,6.931448432,0.1440942242
power,2,7.571370462,0.1319658640
power,2,8.270371084,0.1208445950
power,2,9.033904523,0.1106515046
power,2,9.86792855,0.1013123015
power,2,10.77895096,0.0927575628
power,2,11.77408037,0.0849227778
power,2,12.86108167,0.0777482502
power,2,14.0484366,0.0711789097
power,2,15.34540998,0.0651640681
power,2,16.76212194,0.0596571474
power,2,18.30962695,0.0546153956
power,2,20,0.0499996053
power,3,0.1,0.9950396288
power,3,0.1092321545,0.9940904847
power,3,0.1193166358,0.9929617744
power,3,0.1303321321,0.9916203770
power,3,0.1423645959,0.9900274137
power,3,0.1555079154,0.9881373900
power,3,0.1698646465,0.9858972715
power,3,0.1855468131,0.9832455116
power,3,0.2026767817,0.9801110701
power,3,0.2213882153,0.9764124769
power,3,0.2418271175,0.9720570210
power,3,0.2641529707,0.9669401775
power,3,0.2885399812,0.9609454159
power,3,0.3151784381,0.9539445741
power,3,0.3442761986,0.9457990098
power,3,0.3760603093,0.9363617660
power,3,0.4107787782,0.9254809827
power,3,0.4487025098,0.9130047437
power,3,0.4901274189,0.8987874585
power,3,0.5353767397,0.8826977201
power,3,0.5848035476,0.8646273639
power,3,0.6387935149,0.8445011906
power,3,0.6977679194,0.8222865498
power,3,0.762186932,0.7980017661
power,3,0.8325532074,0.7717223021
power,3,0.9094158061,0.7435836376
power,3,0.9933744787,0.7137801379
power,3,1.085084346,0.6825596441
power,3,1.185261009,0.6502140775
power,3,1.294686137,0.6170668820
power,3,1.414213562,0.5834585319
power,3,1.544775944,0.5497315213
power,3,1.687392046,0.5162162039
power,3,1.843174688,0.4832186135
power,3,2.013339423,0.4510110235
power,3,2.19921403,0.4198255959
power,3,2.402248868,0.3898510980
power,3,2.624028196,0.3612323744
power,3,2.866282534,0.3340720787
power,3,3.130902167,0.3084340850
power,3,3.419951893,0.2843480013
power,3,3.735687137,0.2618142618
power,3,4.080571547,0.2408093698
power,3,4.457296218,0.2212909636
power,3,4.868800693,0.2032024794
power,3,5.318295897,0.1864772763
power,3,5.809289193,0.1710421589
power,3,6.345611749,0.1568202894
power,3,6.931448432,0.1437335200
power,3,7.571370462,0.1317042003
power,3,8.270371084,0.1206565267
power,3,9.033904523,0.1105175069
power,3,9.86792855,0.1012176088
power,3,10.77895096,0.0926911585
power,3,11.77408037,0.0848765442
power,3,12.86108167,0.0777162750
power,3,14.0484366,0.0711569325
power,3,15.34540998,0.0651490496
power,3,16.76212194,0.0596469386
power,3,18.30962695,0.0546084901
power,3,20,0.0499949553
lhhw,0.01,0.1,0.9999359258
lhhw,0.01,0.1092321545,0.9999234361
lhhw,0.01,0.1193166358,0.9999084856
lhhw,0.01,0.1303321321,0.9998905779
lhhw,0.01,0.1423645959,0.9998691120
lhhw,0.01,0.1555079154,0.9998433574
lhhw,0.01,0.1698646465,0.9998124233
lhhw,0.01,0.1855468131,0.9997752194
lhhw,0.01,0.2026767817,0.9997304036
lhhw,0.01,0.2213882153,0.9996763155
lhhw,0.01,0.2418271175,0.9996108851
lhhw,0.01,0.2641529707,0.9995315118
lhhw,0.01,0.2885399812,0.9994348946
lhhw,0.01,0.3151784381,0.9993167951
lhhw,0.01,0.3442761986,0.9991716944
lhhw,0.01,0.3760603093,0.9989922851
lhhw,0.01,0.4107787782,0.9987686960
lhhw,0.01,0.4487025098,0.9984872660
lhhw,0.01,0.4901274189,0.9981285254
lhhw,0.01,0.5353767397,0.9976637033
lhhw,0.01,0.5848035476,0.9970483169
lhhw,0.01,0.6387935149,0.9962094990
lhhw,0.01,0.6977679194,0.9950184446
lhhw,0.01,0.762186932,0.9932223957
lhhw,0.01,0.8325532074,0.9902440644
lhhw,0.01,0.9094158061,0.9844118892
lhhw,0.01,0.9933744787,0.9687151335
lhhw,0.01,1.085084346,0.9179239858
lhhw,0.01,1.185261009,0.8435059305
lhhw,0.01,1.294686137,0.7723798678
lhhw,0.01,1.414213562,0.7071065172
lhhw,0.01,1.544775944,0.6473430624
lhhw,0.01,1.687392046,0.5926305046
lhhw,0.01,1.843174688,0.5425421676
lhhw,0.01,2.013339423,0.4966872618
lhhw,0.01,2.19921403,0.4547083084
lhhw,0.01,2.402248868,0.4162761069
lhhw,0.01,2.624028196,0.3810934660
lhhw,0.01,2.866282534,0.3488839597
lhhw,0.01,3.130902167,0.3193967574
lhhw,0.01,3.419951893,0.2924017738
lhhw,0.01,3.735687137,0.2676883698
lhhw,0.01,4.080571547,0.2450637095
lhhw,0.01,4.457296218,0.2243512549
lhhw,0.01,4.868800693,0.2053893891
lhhw,0.01,5.318295897,0.1880301547
lhhw,0.01,5.809289193,0.1721380993
lhhw,0.01,6.345611749,0.1575892191
lhhw,0.01,6.931448432,0.1442699906
lhhw,0.01,7.571370462,0.1320764854
lhhw,0.01,8.270371084,0.1209135588
lhhw,0.01,9.033904523,0.1106941077
lhhw,0.01,9.86792855,0.1013383908
lhhw,0.01,10.77895096,0.0927734066
lhhw,0.01,11.77408037,0.0849323232
lhhw,0.01,12.86108167,0.0777539577
lhhw,0.01,14.0484366,0.0711822979
lhhw,0.01,15.34540998,0.0651660660
lhhw,0.01,16.76212194,0.0596583179
lhhw,0.01,18.30962695,0.0546160773
lhhw,0.01,20,0.0500000000
lhhw,0.1,0.1,0.9994904045
lhhw,0.1,0.1092321545,0.9993913210
lhhw,0.1,0.1193166358,0.9992728220
lhhw,0.1,0.1303321321,0.9991310385
lhhw,0.1,0.1423645959,0.9989613032
lhhw,0.1,0.1555079154,0.9987579738
lhhw,0.1,0.1698646465,0.9985142117
lhhw,0.1,0.1855468131,0.9982217048
lhhw,0.1,0.2026767817,0.9978703135
lhhw,0.1,0.2213882153,0.9974476180
lhhw,0.1,0.2418271175,0.9969383303
lhhw,0.1,0.2641529707,0.9963235227
lhhw,0.1,0.2885399812,0.9955795994
lhhw,0.1,0.3151784381,0.9946769082
lhhw,0.1,0.3442761986,0.9935778307
lhhw,0.1,0.3760603093,0.9922341100
lhhw,0.1,0.4107787782,0.9905830332
lhhw,0.1,0.4487025098,0.9885418586
lhhw,0.1,0.4901274189,0.9859994839
lhhw,0.1,0.5353767397,0.9828036698
lhhw,0.1,0.5848035476,0.9787409114
lhhw,0.1,0.6387935149,0.9735038672
lhhw,0.1,0.6977679194,0.9666373826
lhhw,0.1,0.762186932,0.9574478831
lhhw,0.1,0.8325532074,0.9448541156
lhhw,0.1,0.9094158061,0.9271681250
lhhw,0.1,0.9933744787,0.9019116563
lhhw,0.1,1.085084346,0.8662218947
lhhw,0.1,1.185261009,0.8188956991
lhhw,0.1,1.294686137,0.7629106951
lhhw,0.1,1.414213562,0.7039296015
lhhw,0.1,1.544775944,0.6463901285
lhhw,0.1,1.687392046,0.5923738472
lhhw,0.1,1.843174688,0.5424804570
lhhw,0.1,2.013339423,0.4966741185
lhhw,0.1,2.19921403,0.4547054648
lhhw,0.1,2.402248868,0.4162762126
lhhw,0.1,2.624028196,0.3810934126
lhhw,0.1,2.866282534,0.3488839536
lhhw,0.1,3.130902167,0.3193967569
lhhw,0.1,3.419951893,0.2924017738
lhhw,0.1,3.735687137,0.2676883681
lhhw,0.1,4.080571547,0.2450637105
lhhw,0.1,4.457296218,0.2243512664
lhhw,0.1,4.868800693,0.2053893972
lhhw,0.1,5.318295897,0.1880306969
lhhw,0.1,5.809289193,0.1721420125
lhhw,0.1,6.345611749,0.1575892191
lhhw,0.1,6.931448432,0.1442699906
lhhw,0.1,7.571370462,0.1320764854
lhhw,0.1,8.270371084,0.1209135588
lhhw,0.1,9.033904523,0.1106941077
lhhw,0.1,9.86792855,0.1013383908
lhhw,0.1,10.77895096,0.0927734066
lhhw,0.1,11.77408037,0.0849323232
lhhw,0.1,12.86108167,0.0777539577
lhhw,0.1,14.0484366,0.0711822979
lhhw,0.1,15.34540998,0.0651660660
lhhw,0.1,16.76212194,0.0596583179
lhhw,0.1,18.30962695,0.0546160773
lhhw,0.1,20,0.0500000000
lhhw,1,0.1,0.9979543270
lhhw,1,0.1092321545,0.9975591781
lhhw,1,0.1193166358,0.9970877042
lhhw,1,0.1303321321,0.9965251648
lhhw,1,0.1423645959,0.9958539745
lhhw,1,0.1555079154,0.9950531544
lhhw,1,0.1698646465,0.9940976795
lhhw,1,0.1855468131,0.9929577014
lhhw,1,0.2026767817,0.9915976239
lhhw,1,0.2213882153,0.9899750052
lhhw,1,0.2418271175,0.9880392573
lhhw,1,0.2641529707,0.9857301079
lhhw,1,0.2885399812,0.9829757916
lhhw,1,0.3151784381,0.9796909343
lhhw,1,0.3442761986,0.9757741005
lhhw,1,0.3760603093,0.9711049910
lhhw,1,0.4107787782,0.9655413042
lhhw,1,0.4487025098,0.9589153395
lhhw,1,0.4901274189,0.9510305224
lhhw,1,0.5353767397,0.9416582167
lhhw,1,0.5848035476,0.9305354838
lhhw,1,0.6387935149,0.9173649136
lhhw,1,0.6977679194,0.9018183178
lhhw,1,0.762186932,0.8835469415
lhhw,1,0.8325532074,0.8622017208
lhhw,1,0.9094158061,0.8374674788
lhhw,1,0.9933744787,0.8091137064
lhhw,1,1.085084346,0.7770601715
lhhw,1,1.185261009,0.7414469730
lhhw,1,1.294686137,0.7026876554
lhhw,1,1.414213562,0.6614776011
lhhw,1,1.544775944,0.6187379068
lhhw,1,1.687392046,0.5754999269
lhhw,1,1.843174688,0.5327644088
lhhw,1,2.013339423,0.4913805966
lhhw,1,2.19921403,0.4519768823
lhhw,1,2.402248868,0.4149482375
lhhw,1,2.624028196,0.3804852451
lhhw,1,2.866282534,0.3486230444
lhhw,1,3.130902167,0.3192924641
lhhw,1,3.419951893,0.2923631691
lhhw,1,3.735687137,0.2676752282
lhhw,1,4.080571547,0.2450596266
lhhw,1,4.457296218,0.2243501069
lhhw,1,4.868800693,0.2053890997
lhhw,1,5.318295897,0.1880300899
lhhw,1,5.809289193,0.1721380866
lhhw,1,6.345611749,0.1575892169
lhhw,1,6.931448432,0.1442699903
lhhw,1,7.571370462,0.1320764853
lhhw,1,8.270371084,0.1209135588
lhhw,1,9.033904523,0.1106941077
lhhw,1,9.86792855,0.1013383889
lhhw,1,10.77895096,0.0927734084
lhhw,1,11.77408037,0.0849323257
lhhw,1,12.86108167,0.0777539605
lhhw,1,14.0484366,0.0711823440
lhhw,1,15.34540998,0.0651660660
lhhw,1,16.76212194,0.0596583179
lhhw,1,18.30962695,0.0546160773
lhhw,1,20,0.0500000000
lhhw,10,0.1,0.9968839792
lhhw,10,0.1092321545,0.9962844863
lhhw,10,0.1193166358,0.9955702113
lhhw,10,0.1303321321,0.9947194112
lhhw,10,0.1423645959,0.9937063228
lhhw,10,0.1555079154,0.9925004603
lhhw,10,0.1698646465,0.9910658090
lhhw,10,0.1855468131,0.9893599052
lhhw,10,0.2026767817,0.9873327986
lhhw,10,0.2213882153,0.9849258979
lhhw,10,0.2418271175,0.9820707091
lhhw,10,0.2641529707,0.9786874888
lhhw,10,0.2885399812,0.9746838555
lhhw,10,0.3151784381,0.9699534285
lhhw,10,0.3442761986,0.9643745996
lhhw,10,0.3760603093,0.9578095947
lhhw,10,0.4107787782,0.9501040389
lhhw,10,0.4487025098,0.9410873138
lhhw,10,0.4901274189,0.9305740748
lhhw,10,0.5353767397,0.9183673685
lhhw,10,0.5848035476,0.9042638469
lhhw,10,0.6387935149,0.8880615750
lhhw,10,0.6977679194,0.8695708328
lhhw,10,0.762186932,0.8486280748
lhhw,10,0.8325532074,0.8251127763
lhhw,10,0.9094158061,0.7989662449
lhhw,10,0.9933744787,0.7702106488
lhhw,10,1.085084346,0.7389656510
lhhw,10,1.185261009,0.7054593930
lhhw,10,1.294686137,0.6700304943
lhhw,10,1.414213562,0.6331185231
lhhw,10,1.544775944,0.5952421502
lhhw,10,1.687392046,0.5569666465
lhhw,10,1.843174688,0.5188648493
lhhw,10,2.013339423,0.4814773872
lhhw,10,2.19921403,0.4452781775
lhhw,10,2.402248868,0.4106499141
lhhw,10,2.624028196,0.3778719084
lhhw,10,2.866282534,0.3471200552
lhhw,10,3.130902167,0.3184766167
lhhw,10,3.419951893,0.2919463717
lhhw,10,3.735687137,0.2674755119
lhhw,10,4.080571547,0.2449702298
lhhw,10,4.457296218,0.2243128995
lhhw,10,4.868800693,0.2053747767
lhhw,10,5.318295897,0.1880250207
lhhw,10,5.809289193,0.1721364482
lhhw,10,6.345611749,0.1575887370
lhhw,10,6.931448432,0.1442698639
lhhw,10,7.571370462,0.1320764557
lhhw,10,8.270371084,0.1209135526
lhhw,10,9.033904523,0.1106941066
lhhw,10,9.86792855,0.1013383907
lhhw,10,10.77895096,0.0927734065
lhhw,10,11.77408037,0.0849323232
lhhw,10,12.86108167,0.0777539577
lhhw,10,14.0484366,0.0711822979
lhhw,10,15.34540998,0.0651660685
lhhw,10,16.76212194,0.0596583224
lhhw,10,18.30962695,0.0546160685
lhhw,10,20,0.0499996937
lhhw,100,0.1,0.9967016983
lhhw,100,0.1092321545,0.9960675539
lhhw,100,0.1193166358,0.9953121679
lhhw,100,0.1303321321,0.9944126471
lhhw,100,0.1423645959,0.9933418953
lhhw,100,0.1555079154,0.9920678928
lhhw,100,0.1698646465,0.9905528725
lhhw,100,0.1855468131,0.9887523888
lhhw,100,0.2026767817,0.9866142776
lhhw,100,0.2213882153,0.9840775146
lhhw,100,0.2418271175,0.9810709873
lhhw,100,0.2641529707,0.9775122160
lhhw,100,0.2885399812,0.9733060757
lhhw,100,0.3151784381,0.9683436063
lhhw,100,0.3442761986,0.9625010323
lhhw,100,0.3760603093,0.9556391660
lhhw,100,0.4107787782,0.9476034229
lhhw,100,0.4487025098,0.9382247413
lhhw,100,0.4901274189,0.9273217616
lhhw,100,0.5353767397,0.9147046614
lhhw,100,0.5848035476,0.9001810570
lhhw,100,0.6387935149,0.8835643242
lhhw,100,0.6977679194,0.8646845385
lhhw,100,0.762186932,0.8434019512
lhhw,100,0.8325532074,0.8196224883
lhhw,100,0.9094158061,0.7933141911
lhhw,100,0.9933744787,0.7645228965
lhhw,100,1.085084346,0.7333848991
lhhw,100,1.185261009,0.7001340569
lhhw,100,1.294686137,0.6651009933
lhhw,100,1.414213562,0.6287028464
lhhw,100,1.544775944,0.5914234058
lhhw,100,1.687392046,0.5537852014
lhhw,100,1.843174688,0.5163167533
lhhw,100,2.013339423,0.4795192701
lhhw,100,2.19921403,0.4438372449
lhhw,100,2.402248868,0.4096365879
lhhw,100,2.624028196,0.3771923942
lhhw,100,2.866282534,0.3466866284
lhhw,100,3.130902167,0.3182143957
lhhw,100,3.419951893,0.2917963934
lhhw,100,3.735687137,0.2673947223
lhhw,100,4.080571547,0.2449294198
lhhw,100,4.457296218,0.2242936630
lhhw,100,4.868800693,0.2053663621
lhhw,100,5.318295897,0.1880216261
lhhw,100,5.809289193,0.1721351938
lhhw,100,6.345611749,0.1575883156
lhhw,100,6.931448432,0.1442697363
lhhw,100,7.571370462,0.1320764212
lhhw,100,8.270371084,0.1209135444
lhhw,100,9.033904523,0.1106941048
lhhw,100,9.86792855,0.1013383903
lhhw,100,10.77895096,0.0927734065
lhhw,100,11.77408037,0.0849323232
lhhw,100,12.86108167,0.0777539579
lhhw,100,14.0484366,0.0711822979
lhhw,100,15.34540998,0.0651660664
lhhw,100,16.76212194,0.0596583142
lhhw,100,18.30962695,0.0546160780
lhhw,100,20,0.0500000120
volchange,0.4,0.1,0.9963129405
volchange,0.4,0.1092321545,0.9956050115
volchange,0.4,0.1193166358,0.9947621360
volchange,0.4,0.1303321321,0.9937589999
volchange,0.4,0.1423645959,0.9925657113
volchange,0.4,0.1555079154,0.9911470440
volchange,0.4,0.1698646465,0.9894615849
volchange,0.4,0.1855468131,0.9874607872
volchange,0.4,0.2026767817,0.9850879379
volchange,0.4,0.2213882153,0.9822770557
volchange,0.4,0.2418271175,0.9789517547
volchange,0.4,0.2641529707,0.9750241266
volchange,0.4,0.2885399812,0.9703937192
volchange,0.4,0.3151784381,0.9649467285
volchange,0.4,0.3442761986,0.9585555533
volchange,0.4,0.3760603093,0.9510789155
volchange,0.4,0.4107787782,0.9423627874
volchange,0.4,0.4487025098,0.9322424106
volchange,0.4,0.4901274189,0.9205457109
volchange,0.4,0.5353767397,0.9070983950
volchange,0.4,0.5848035476,0.8917309511
volchange,0.4,0.6387935149,0.8742876255
volchange,0.4,0.6977679194,0.8546372255
volchange,0.4,0.762186932,0.8326852808
volchange,0.4,0.8325532074,0.8083867337
volchange,0.4,0.9094158061,0.7817579632
volchange,0.4,0.9933744787,0.7528866675
volchange,0.4,1.085084346,0.7219380405
volchange,0.4,1.185261009,0.6891558385
volchange,0.4,1.294686137,0.6548573963
volchange,0.4,1.414213562,0.6194223580
volchange,0.4,1.544775944,0.5832757370
volchange,0.4,1.687392046,0.5468667426
volchange,0.4,1.843174688,0.5106454423
volchange,0.4,2.013339423,0.4750396431
volchange,0.4,2.19921403,0.4404343190
volchange,0.4,2.402248868,0.4071555082
volchange,0.4,2.624028196,0.3754599392
volchange,0.4,2.866282534,0.3455308532
volchange,0.4,3.130902167,0.3174797026
volchange,0.4,3.419951893,0.2913527448
volchange,0.4,3.735687137,0.2671411056
volchange,0.4,4.080571547,0.2447926995
volchange,0.4,4.457296218,0.2242244633
volchange,0.4,4.868800693,0.2053336381
volchange,0.4,5.318295897,0.1880072461
volchange,0.4,5.809289193,0.1721293572
volchange,0.4,6.345611749,0.1575861420
volchange,0.4,6.931448432,0.1442689990
volchange,0.4,7.571370462,0.1320761952
volchange,0.4,8.270371084,0.1209134823
volchange,0.4,9.033904523,0.1106940897
volchange,0.4,9.86792855,0.1013383871
volchange,0.4,10.77895096,0.0927734059
volchange,0.4,11.77408037,0.0849323231
volchange,0.4,12.86108167,0.0777539577
volchange,0.4,14.0484366,0.0711822979
volchange,0.4,15.34540998,0.0651660660
volchange,0.4,16.76212194,0.0596583172
volchange,0.4,18.30962695,0.0546160779
volchange,0.4,20,0.0500000051
volchange,1,0.1,0.9959335590
volchange,1,0.1092321545,0.9951537564
volchange,1,0.1193166358,0.9942257113
volchange,1,0.1303321321,0.9931217836
volchange,1,0.1423645959,0.9918094042
volchange,1,0.1555079154,0.9902502887
volchange,1,0.1698646465,0.9883995647
volchange,1,0.1855468131,0.9862048191
volchange,1,0.2026767817,0.9836050833
volchange,1,0.2213882153,0.9805297852
volchange,1,0.2418271175,0.9768977181
volchange,1,0.2641529707,0.9726160968
volchange,1,0.2885399812,0.9675798030
volchange,1,0.3151784381,0.9616709583
volchange,1,0.3442761986,0.9547589979
volchange,1,0.3760603093,0.9467014606
volchange,1,0.4107787782,0.9373457384
volchange,1,0.4487025098,0.9265320429
volchange,1,0.4901274189,0.9140978259
volchange,1,0.5353767397,0.8998838258
volchange,1,0.5848035476,0.8837417823
volchange,1,0.6387935149,0.8655436662
volchange,1,0.6977679194,0.8451920174
volchange,1,0.762186932,0.8226306903
volchange,1,0.8325532074,0.7978550412
volchange,1,0.9094158061,0.7709204016
volchange,1,0.9933744787,0.7419476492
volchange,1,1.085084346,0.7111248546
volchange,1,1.185261009,0.6787043471
volchange,1,1.294686137,0.6449950660
volchange,1,1.414213562,0.6103506442
volchange,1,1.544775944,0.5751541966
volchange,1,1.687392046,0.5398011622
volchange,1,1.843174688,0.5046817101
volchange,1,2.013339423,0.4701641750
volchange,1,2.19921403,0.4365807608
volchange,1,2.402248868,0.4042164227
volchange,1,2.624028196,0.3733014636
volchange,1,2.866282534,0.3440080144
volchange,1,3.130902167,0.3164502369
volchange,1,3.419951893,0.2906878129
volchange,1,3.735687137,0.2667320639
