row,pdf_page,component_a,component_b,ref_number,temperature_K,D_obs_cm2_s,err_fsg_pct,tracer,starred,image_corrected
49,6,H2,"2,4-DIMETHYLPENTANE",12,303.3,0.297,1.87,0,1,
50,6,H2,N-OCTANE,12,303.2,0.277,2.27,0,0,
51,6,H2,"2,2,4-TRIMETHYLPENTANE",12,303.2,0.292,-2.98,0,1,
52,6,H2,N-DECANE,14,364.1,0.306,14.16,0,1,
53,6,H2,"2,3,3-TRIMETHYLHEPTANE",14,363.9,0.27,29.26,0,1,
54,6,H2,N-DODECANE,14,399.6,0.308,21.74,0,1,
55,6,H2,BENZENE,26,311.3,0.4036,-0.82,0,0,
56,6,H2,PYRIDINE,26,317.9,0.437,1.94,0,1,
57,6,H2,PIPERIDINE,26,314.7,0.403,-7.67,0,1,
58,6,H2,THIOPHENE,26,302.2,0.4,6.46,0,1,
59,6,H2,TETRAHYDROTHIOPHENE,26,318.4,0.412,-3.08,0,1,
60,6,D2,HE,27,295.1,1.25,8.6,0,0,
61,6,D2,N2,27,296.8,0.542,3.31,0,0,
62,6,D2,AIR,27,296.8,0.565,-5.48,0,0,T
63,6,D2,AR,27,296.8,0.575,-0.48,0,0,
64,6,D2,CO,27,295.7,0.549,-0.79,0,0,
65,6,D2,CO2,27,295.7,0.474,-2.51,0,0,
66,6,D2,NH3,27,296.8,0.63,-0.9,0,0,
67,6,D2,SF6,27,295.7,0.305,-2.69,0,0,
68,6,D2,N-HEPTANE,12,303.2,0.218,0.37,0,1,
69,6,D2,"2,4-DIMETHYLPENTANE",12,303.2,0.224,-2.32,0,1,
70,6,D2,N-OCTANE,12,303.2,0.208,-1.59,0,0,
71,6,D2,"2,2,4-TRIMETHYLPENTANE",12,303.2,0.212,-3.44,0,1,
72,6,HE,N2,59,293.0,0.705,-3.58,0,0,
73,6,HE,N2,60,298.0,0.73,-4.08,1,0,
74,6,HE,N2,60,298.0,0.688,1.77,1,0,
75,6,HE,N2,17,298.2,0.687,2.04,1,0,Dobs
76,6,HE,N2,17,298.2,0.717,-2.23,0,0,
77,6,HE,N2,60,300.0,0.743,-4.65,0,0,
78,7,HE,N2,53,323.2,0.766,5.36,0,0,
79,7,HE,N2,53,353.2,0.893,5.57,0,0,
80,7,HE,N2,53,383.2,1.077,0.95,0,0,
81,7,HE,N2,53,413.2,1.2,3.38,0,0,
82,7,HE,N2,53,443.2,1.289,8.8,0,0,
83,7,HE,N2,53,473.2,1.569,0.24,0,0,
84,7,HE,N2,53,498.2,1.65,4.31,0,0,
85,7,HE,N2,60,600.0,2.4,-0.71,0,0,
86,7,HE,N2,60,900.0,4.76,1.78,0,0,
87,7,HE,N2,60,1200.0,7.74,3.55,0,0,
88,7,HE,O2,17,298.2,0.737,-2.52,1,0,
89,7,HE,O2,17,298.2,0.718,0.06,1,0,
90,7,HE,O2,53,323.2,0.809,2.24,0,0,
91,7,HE,O2,53,353.2,0.987,-2.11,0,0,
92,7,HE,O2,53,383.2,1.12,-0.51,0,0,
93,7,HE,O2,53,413.2,1.245,2.12,0,0,
94,7,HE,O2,53,443.2,1.42,1.22,0,0,
95,7,HE,O2,53,473.2,1.595,1.06,0,0,
96,7,HE,O2,53,498.2,1.683,4.81,0,0,
97,7,HE,AR,25,276.2,0.646,-2.56,0,0,
98,7,HE,AR,57,287.9,0.697,-2.89,0,0,T
99,7,HE,AR,17,296.2,0.729,-2.42,1,0,
100,7,HE,AR,61,298.0,0.725,-0.83,1,0,
101,7,HE,AR,61,298.0,0.754,-4.65,0,0,
102,7,HE,AR,25,317.2,0.7968,0.65,0,0,
103,7,HE,AR,53,323.2,0.809,2.44,0,0,
104,7,HE,AR,25,346.2,0.9244,1.11,0,0,
105,7,HE,AR,53,353.2,0.978,-1.03,0,0,
106,7,HE,AR,57,354.2,0.979,-0.64,0,0,
107,7,HE,AR,53,383.2,1.122,-0.5,0,0,
108,7,HE,AR,53,413.2,1.237,2.98,0,0,
109,7,HE,AR,57,418.0,1.398,-7.02,0,0,
110,7,HE,AR,53,443.2,1.401,2.79,0,0,
111,7,HE,AR,53,473.2,1.612,0.18,0,0,
112,7,HE,AR,53,498.2,1.728,2.27,0,0,
113,7,HE,AR,61,500.0,1.86,-4.39,0,0,
114,7,HE,AR,61,1000.0,6.25,-4.29,0,0,
115,7,HE,AR,61,1100.0,7.38,-4.24,0,0,
116,7,HE,AIR,25,276.2,0.6242,-6.81,0,0,
117,7,HE,AIR,25,317.2,0.7652,-3.15,0,0,
118,7,HE,AIR,25,346.2,0.9019,-4.23,0,0,
119,7,HE,CO,27,295.6,0.702,-3.95,0,0,
120,7,HE,CO2,25,276.2,0.5312,-5.82,0,0,
121,7,HE,CO2,53,298.2,0.612,-6.53,0,0,
122,7,HE,CO2,25,317.2,0.6607,-3.53,0,0,
123,7,HE,CO2,53,323.2,0.678,-2.86,0,0,
124,7,HE,CO2,25,346.2,0.7646,-2.85,0,0,
125,7,HE,CO2,53,353.2,0.8,-3.84,0,0,
126,7,HE,CO2,53,383.2,0.884,0.37,0,0,
127,7,HE,CO2,53,413.2,1.04,-2.66,0,0,
128,7,HE,CO2,53,443.2,1.133,1.01,0,0,
129,7,HE,CO2,53,473.2,1.279,0.35,0,0,
130,7,HE,CO2,53,498.2,1.414,-0.67,0,0,
131,7,HE,WATER,34,298.2,0.908,-7.69,0,0,
132,7,HE,WATER,50,307.2,0.902,-2.11,0,0,
133,7,HE,WATER,50,328.5,1.011,-1.79,0,0,
134,7,HE,WATER,50,352.5,1.121,-5.33,0,0,
135,7,HE,NH3,27,296.6,0.831,-6.05,0,0,
136,7,HE,NH3,17,297.1,0.842,-7.0,0,0,
137,7,HE,METHANE,16,373.0,1.005,-5.87,0,0,
138,7,HE,N-HEXANE,16,417.0,0.574,-17.5,0,0,
139,7,HE,N-HEPTANE,12,303.2,0.265,-5.68,0,1,
140,7,HE,"2,4-DIMETHYLPENTANE",12,303.2,0.263,-4.96,0,1,
141,7,HE,N-OCTANE,12,303.2,0.248,-6.12,0,0,
142,7,HE,"2,2,4-TRIMETHYLPENTANE",12,303.2,0.253,-7.98,0,1,
143,7,HE,BENZENE,34,298.2,0.384,-18.39,0,0,
144,7,HE,BENZENE,53,423.2,0.61,-5.2,0,0,
145,7,HE,BENZENE,53,463.2,0.715,-5.27,0,0,
146,7,HE,BENZENE,53,503.2,0.815,-3.93,0,0,
147,7,HE,BENZENE,53,523.2,0.861,-2.65,0,0,
148,7,HE,NITROBENZENE,34,298.2,0.372,-22.65,0,1,
149,7,HE,METHANOL,53,423.2,1.032,-1.0,0,0,
150,7,HE,METHANOL,53,463.2,1.218,-1.76,0,0,
151,7,HE,METHANOL,53,503.2,1.389,-0.42,0,0,
152,7,HE,METHANOL,53,523.2,1.475,0.4,0,0,
153,7,HE,ETHANOL,34,298.2,0.494,-13.75,0,0,
154,7,HE,ETHANOL,53,423.2,0.821,-4.23,0,0,
155,7,HE,ETHANOL,53,463.2,0.925,-0.45,0,0,
156,7,HE,ETHANOL,53,503.2,1.048,1.58,0,0,
157,7,HE,ETHANOL,53,523.2,1.173,-2.84,0,0,T
158,7,HE,PROPANOL,53,423.2,0.676,-2.47,0,1,
159,7,HE,PROPANOL,53,463.2,0.761,1.48,0,1,
160,7,HE,PROPANOL,53,503.2,0.896,-0.37,0,1,
161,7,HE,PROPANOL,53,523.2,0.959,-0.34,0,1,
162,7,HE,2-PROPANOL,53,423.2,0.677,-2.61,0,1,
163,7,HE,2-PROPANOL,53,463.2,0.784,-1.5,0,1,
164,7,HE,2-PROPANOL,53,503.2,0.882,1.21,0,1,T
165,7,HE,2-PROPANOL,53,523.2,0.988,-3.27,0,1,
166,7,HE,BUTANOL,53,423.2,0.587,-1.68,0,1,
167,7,HE,BUTANOL,53,463.2,0.689,-1.9,0,1,
168,7,HE,BUTANOL,53,503.2,0.792,-1.34,0,1,
169,7,HE,BUTANOL,53,523.2,0.841,-0.53,0,1,
170,7,HE,PENTANOL,53,423.2,0.507,2.24,0,1,
171,7,HE,PENTANOL,53,463.2,0.578,5.04,0,1,
172,7,HE,PENTANOL,53,503.2,0.666,5.38,0,1,
173,7,HE,PENTANOL,53,523.2,0.729,3.07,0,1,
174,7,HE,HEXANOL,53,423.2,0.469,1.01,0,1,
175,7,HE,HEXANOL,53,463.2,0.531,4.49,0,1,
176,8,HE,HEXANOL,53,503.2,0.631,1.64,0,1,
177,8,HE,HEXANOL,53,523.2,0.686,0.09,0,1,Dobs
178,8,N2,AR,59,293.0,0.194,-0.27,0,0,
179,8,N2,CO,6,289.5,0.211,-7.69,0,0,
180,8,N2,CO,27,295.8,0.212,-4.6,0,0,
181,8,N2,CO2,6,289.2,0.158,-1.5,0,0,
182,8,N2,CO2,59,293.0,0.163,-2.31,0,0,
183,8,N2,CO2,7,298.0,0.165,-0.59,0,0,T;ref
184,8,N2,CO2,60,298.0,0.167,-1.78,1,0,
185,8,N2,CO2,60,298.0,0.167,-1.78,1,0,
186,8,N2,CO2,17,298.2,0.163,0.74,1,0,
187,8,N2,CO2,17,298.2,0.181,-9.27,1,0,
188,8,N2,CO2,60,300.0,0.173,-4.07,0,0,
189,8,N2,CO2,60,600.0,0.605,-7.74,0,0,
190,8,N2,CO2,60,900.0,1.217,-6.75,0,0,
191,8,N2,CO2,60,1200.0,1.976,-4.98,0,0,
192,8,N2,WATER,50,307.6,0.256,8.82,0,0,
193,8,N2,WATER,50,328.6,0.303,3.21,0,0,
194,8,N2,WATER,50,352.2,0.359,-1.65,0,0,
195,8,N2,NH3,27,295.1,0.248,1.01,0,0,
196,8,N2,ETHYLENE,31,291.2,0.163,-8.46,0,0,
197,8,N2,ETHYLENE,7,298.0,0.163,-4.68,0,0,
198,8,N2,ETHANE,7,298.0,0.148,-0.37,0,0,
199,8,N2,N-BUTANE,7,298.0,0.096,3.72,0,0,
200,8,N2,ISOBUTANE,7,298.0,0.0905,10.03,0,0,
201,8,N2,N-HEXANE,14,288.6,0.0757,-0.5,0,0,
202,8,N2,"2,3-DIMETHYLBUTANE",14,288.7,0.0751,0.36,0,1,T
203,8,N2,CYCLOHEXANE,14,288.6,0.076,0.79,0,0,
204,8,N2,METHYLCYCLOPENTANE,14,288.6,0.076,0.79,0,1,
205,8,N2,N-HEPTANE,12,303.2,0.074,2.06,0,1,
206,8,N2,"2,4-DIMETHYLPENTANE",12,303.1,0.0744,1.46,0,1,
207,8,N2,N-OCTANE,12,303.1,0.0726,-3.25,0,0,
208,8,N2,"2,2,4-TRIMETHYLPENTANE",12,303.3,0.0713,-1.38,0,1,
209,8,N2,N-DECANE,14,363.6,0.0841,1.88,0,1,
210,8,N2,"2,3,3-TRIMETHYLHEPTANE",14,363.8,0.0684,25.39,0,1,
211,8,N2,N-DODECANE,14,399.4,0.0813,12.69,0,1,
212,8,N2,BENZENE,26,311.3,0.1022,-1.62,0,0,
213,8,N2,PYRIDINE,26,317.9,0.1068,3.89,0,1,e_printed
214,8,N2,PIPERIDINE,26,314.9,0.0953,-1.94,0,1,
215,8,N2,THIOPHENE,26,302.1,0.0992,5.61,0,1,
216,8,N2,TETRAHYDROTHIOPHENE,26,318.5,0.0985,0.89,0,1,
217,8,O2,WATER,50,308.1,0.282,-0.79,0,0,
218,8,O2,WATER,50,329.0,0.318,-1.31,0,0,
219,8,O2,WATER,50,352.4,0.352,0.55,0,0,
220,8,O2,N-HEXANE,14,288.6,0.0753,-3.15,0,0,
221,8,O2,"2,3-DIMETHYLBUTANE",14,288.4,0.0753,-3.27,0,1,
222,8,O2,CYCLOHEXANE,14,288.6,0.0744,-0.27,0,0,e_printed
223,8,O2,METHYLCYCLOPENTANE,14,287.1,0.0742,-0.91,0,1,
224,8,O2,N-OCTANE,14,303.1,0.0705,-3.96,0,0,
225,8,O2,"2,2,4-TRIMETHYLPENTANE",14,303.0,0.0705,-4.01,0,1,
226,8,O2,BENZENE,26,311.3,0.1011,-3.46,0,0,e_printed
227,8,O2,PYRIDINE,26,318.3,0.105,2.84,0,1,
228,8,O2,PIPERIDINE,26,315.0,0.0953,-4.94,0,1,
229,8,O2,THIOPHENE,26,302.1,0.0975,4.31,0,1,
230,8,O2,TETRAHYDROTHIOPHENE,26,318.5,0.0983,-2.1,0,1,
231,8,NE,AR,49,90.0,0.036,7.9,0,0,
232,8,NE,AR,49,194.5,0.153,-2.2,0,0,
233,8,NE,AR,49,273.0,0.271,-0.06,0,0,
234,8,NE,AR,56,273.0,0.276,-1.87,0,0,
235,8,NE,AR,56,288.0,0.3,-0.87,0,0,
236,8,NE,AR,56,303.0,0.327,-0.6,0,0,
237,8,NE,AR,56,318.0,0.357,-0.92,0,0,
238,8,NE,AR,49,353.0,0.414,2.57,0,0,
239,8,NE,AR,49,473.0,0.671,5.61,0,0,
240,8,NE,KR,56,273.0,0.223,-4.09,0,0,
241,8,NE,KR,56,288.0,0.24,-2.14,0,0,
242,8,NE,KR,56,303.0,0.266,-3.5,0,0,
243,8,NE,KR,56,318.0,0.284,-1.64,0,0,
244,8,AR,KR,49,199.5,0.072,-1.59,0,0,
245,8,AR,KR,49,273.0,0.126,-2.64,0,0,
246,8,AR,KR,56,273.0,0.119,3.09,0,0,
247,8,AR,KR,56,288.0,0.128,5.24,0,0,
248,8,AR,KR,56,303.0,0.14,5.16,0,0,
249,8,AR,KR,56,318.0,0.153,4.72,0,0,
250,8,AR,KR,49,353.0,0.197,-2.37,0,0,
251,8,AR,KR,49,373.0,0.216,-1.94,0,0,
252,8,AR,KR,49,473.0,0.327,-1.84,0,0,
253,8,AR,XE,2,194.7,0.0508,4.26,0,0,
254,8,AR,XE,2,273.2,0.0962,-0.4,0,0,
255,8,AR,XE,2,329.9,0.1366,-2.44,0,0,
256,8,AR,XE,2,378.0,0.1759,-3.86,0,0,
257,8,AR,CO,27,295.7,0.188,2.66,0,0,
258,8,AR,CO2,25,276.2,0.1326,1.16,0,0,
259,8,AR,CO2,25,317.2,0.1652,3.45,0,0,
260,8,AR,NH3,27,295.1,0.232,5.43,0,0,
261,8,AR,N-HEXANE,14,288.6,0.0663,2.4,0,0,
262,8,AR,"2,3-DIMETHYLBUTANE",14,288.9,0.0657,3.53,0,1,
263,8,AR,CYCLOHEXANE,14,288.7,0.0719,-3.82,0,0,T
264,8,AR,METHYLCYCLOPENTANE,14,287.1,0.0731,-6.31,0,1,
265,8,AR,N-HEPTANE,12,303.2,0.0658,2.84,0,1,
266,8,AR,"2,4-DIMETHYLPENTANE",12,303.2,0.0655,3.32,0,1,
267,8,AR,N-OCTANE,12,303.2,0.0587,6.75,0,0,
268,8,AR,"2,2,4-TRIMETHYLPENTANE",12,303.2,0.0599,4.61,0,1,
269,8,CO,CO2,27,296.1,0.152,4.91,0,0,
270,8,CO,NH3,27,295.1,0.24,2.44,0,0,
271,8,CO,SF6,27,296.8,0.0887,7.39,0,0,
272,8,CO2,N2O,1,194.8,0.0531,2.89,0,0,
273,9,CO2,N2O,1,273.2,0.0989,-0.15,0,0,
274,9,CO2,N2O,6,287.3,0.107,0.79,0,0,
275,9,CO2,N2O,62,298.0,0.117,-1.74,0,0,
276,9,CO2,N2O,1,312.8,0.128,-2.23,0,0,
277,9,CO2,N2O,1,362.8,0.1683,-3.61,0,0,
278,9,CO2,WATER,50,307.5,0.202,10.08,0,0,
279,9,CO2,WATER,50,328.6,0.211,18.36,0,0,
280,9,CO2,WATER,50,352.4,0.245,15.21,0,0,
281,9,CO2,PROPANE,62,298.0,0.0863,6.96,0,0,
282,9,CO2,ETHYLENEOXIDE,62,298.0,0.0918,15.09,0,1,ref
283,9,N2O,PROPANE,62,298.0,0.086,-1.35,0,0,
284,9,N2O,ETHYLENEOXIDE,62,298.0,0.0914,4.91,0,1,
285,9,NH3,SF6,27,296.6,0.109,15.15,0,0,
286,9,METHANE,WATER,50,307.7,0.292,-3.0,0,0,
287,9,METHANE,WATER,50,328.8,0.331,-3.9,0,0,
288,9,METHANE,WATER,50,352.3,0.356,0.83,0,0,
289,9,ETHYLENE,WATER,60,307.8,0.204,0.23,0,0,
290,9,ETHYLENE,WATER,50,328.5,0.233,-1.65,0,0,
291,9,ETHYLENE,WATER,50,352.3,0.247,4.85,0,0,
292,9,FREON12,WATER,34,298.2,0.105,-0.53,0,1,
293,9,FREON12,BENZENE,34,298.2,0.0385,-7.76,0,1,
294,9,FREON12,ETHANOL,34,298.2,0.0475,6.62,0,1,
295,9,AIR,CL2,3,293.0,0.124,0.08,0,0,
296,9,AIR,BR2,3,293.0,0.091,0.03,0,0,
297,9,AIR,CO2,25,276.2,0.142,-3.48,0,0,
298,9,AIR,CO2,3,293.0,0.165,-7.89,0,0,
299,9,AIR,CO2,25,317.2,0.1772,-1.45,0,0,
300,9,AIR,SO2,3,293.0,0.122,0.03,0,0,
301,9,AIR,WATER,34,298.2,0.26,-3.25,0,0,
302,9,AIR,WATER,18,299.1,0.258,-1.98,0,0,
303,9,AIR,WATER,16,312.6,0.277,-1.37,0,0,
304,9,AIR,WATER,18,333.2,0.305,0.16,0,0,
305,9,AIR,NH3,27,295.1,0.247,-3.18,0,0,
306,9,AIR,METHANE,0,289.0,0.219,-8.86,0,0,
307,9,AIR,METHANE,13,294.6,0.224,-7.85,0,0,
308,9,AIR,BENZENE,34,298.2,0.0962,-6.96,0,0,
309,9,AIR,BENZENE,28,308.0,0.1021,-7.23,0,0,
310,9,AIR,TOLUENE,18,299.1,0.086,-5.95,0,0,
311,9,AIR,TOLUENE,16,312.6,0.092,-5.02,0,0,
312,9,AIR,TOLUENE,18,333.2,0.104,-6.06,0,0,
313,9,AIR,CHLOROBENZENE,18,299.1,0.074,8.13,0,1,
314,9,AIR,CHLOROBENZENE,18,312.6,0.079,9.42,0,1,
315,9,AIR,CHLOROBENZENE,18,333.2,0.09,7.39,0,1,
316,9,AIR,ANILINE,18,299.1,0.074,14.94,0,1,
317,9,AIR,ANILINE,18,312.6,0.079,16.32,0,1,
318,9,AIR,ANILINE,18,333.2,0.09,14.17,0,1,
319,9,AIR,NITROBENZENE,34,298.2,0.0855,-6.68,0,1,
320,9,AIR,DIPHENYL,18,490.0,0.16,-7.1,0,1,
321,9,AIR,ETHANOL,34,298.2,0.135,-8.58,0,0,e_printed
322,9,AIR,2-PROPANOL,18,299.1,0.099,4.55,0,1,
323,9,AIR,2-PROPANOL,18,312.6,0.107,4.51,0,1,
324,9,AIR,2-PROPANOL,18,333.2,0.121,3.33,0,1,
325,9,AIR,BUTANOL,18,299.1,0.087,3.89,0,1,
326,9,AIR,BUTANOL,18,312.6,0.092,6.13,0,1,
327,9,AIR,BUTANOL,18,333.2,0.104,4.98,0,1,
328,9,AIR,2-BUTANOL,18,299.1,0.089,1.56,0,1,
329,9,AIR,2-BUTANOL,18,312.6,0.096,1.71,0,1,
330,9,AIR,2-BUTANOL,18,333.2,0.108,1.09,0,1,
331,9,AIR,2-PENTANOL,18,299.1,0.071,14.27,0,1,
332,9,AIR,2-PENTANOL,18,312.6,0.076,15.33,0,1,
333,9,AIR,2-PENTANOL,18,333.2,0.086,13.96,0,1,Dobs
334,9,AIR,ETHYLACETATE,18,299.1,0.087,0.85,0,0,
335,9,AIR,ETHYLACETATE,18,312.6,0.094,0.84,0,0,
336,9,AIR,ETHYLACETATE,18,333.2,0.106,-0.01,0,0,
337,9,AIR,HCN,30,273.0,0.173,-9.96,0,1,
338,9,AIR,CYANOGENCHLORIDE,30,273.0,0.111,-2.75,0,1,
339,9,AIR,PHOSGENE,30,273.0,0.095,-7.94,0,1,
340,9,AIR,CHLOROPICRIN,30,298.0,0.088,-6.32,0,1,
