curve,utilisation,cell_potential_V
open-circuit (dashed),0.5823,2.1159
open-circuit (dashed),0.5847,2.1137
open-circuit (dashed),0.5871,2.1116
open-circuit (dashed),0.5895,2.1094
open-circuit (dashed),0.6004,2.1034
open-circuit (dashed),0.6028,2.1028
open-circuit (dashed),0.6052,2.1006
open-circuit (dashed),0.6076,2.1006
open-circuit (dashed),0.6184,2.0936
open-circuit (dashed),0.6208,2.0919
open-circuit (dashed),0.6232,2.0897
open-circuit (dashed),0.6256,2.0897
open-circuit (dashed),0.6364,2.0809
open-circuit (dashed),0.6388,2.0809
open-circuit (dashed),0.6412,2.0809
open-circuit (dashed),0.6436,2.0767
open-circuit (dashed),0.646,2.0767
open-circuit (dashed),0.6569,2.0696
open-circuit (dashed),0.6593,2.0658
open-circuit (dashed),0.6617,2.0658
open-circuit (dashed),0.6641,2.0658
open-circuit (dashed),0.6749,2.0587
open-circuit (dashed),0.6773,2.057
open-circuit (dashed),0.6797,2.0549
open-circuit (dashed),0.6821,2.0527
open-circuit (dashed),0.6845,2.0505
open-circuit (dashed),0.6953,2.0437
open-circuit (dashed),0.6977,2.0418
open-circuit (dashed),0.7001,2.0396
open-circuit (dashed),0.7025,2.0374
open-circuit (dashed),0.7133,2.0328
open-circuit (dashed),0.7157,2.0309
open-circuit (dashed),0.7181,2.0287
open-circuit (dashed),0.7206,2.0265
open-circuit (dashed),0.7314,2.0197
open-circuit (dashed),0.7338,2.0178
open-circuit (dashed),0.7362,2.0156
open-circuit (dashed),0.7386,2.0134
open-circuit (dashed),0.741,2.0129
open-circuit (dashed),0.7518,2.0047
open-circuit (dashed),0.7542,2.0025
open-circuit (dashed),0.7566,2.0019
open-circuit (dashed),0.759,2.0019
open-circuit (dashed),0.7686,1.9913
open-circuit (dashed),0.771,1.9913
open-circuit (dashed),0.7734,1.9895
open-circuit (dashed),0.7758,1.9895
open-circuit (dashed),0.7782,1.9895
open-circuit (dashed),0.7891,1.9805
open-circuit (dashed),0.7915,1.9786
open-circuit (dashed),0.7939,1.9764
open-circuit (dashed),0.7963,1.9742
open-circuit (dashed),0.8071,1.9632
open-circuit (dashed),0.8095,1.9632
open-circuit (dashed),0.8119,1.9632
open-circuit (dashed),0.8143,1.9611
open-circuit (dashed),0.8167,1.9598
open-circuit (dashed),0.8263,1.9502
open-circuit (dashed),0.8287,1.9502
open-circuit (dashed),0.8311,1.9469
open-circuit (dashed),0.8335,1.9459
open-circuit (dashed),0.8444,1.9369
open-circuit (dashed),0.8468,1.935
open-circuit (dashed),0.8492,1.9339
open-circuit (dashed),0.8516,1.9328
open-circuit (dashed),0.854,1.9314
open-circuit (dashed),0.8648,1.9216
open-circuit (dashed),0.8672,1.9197
open-circuit (dashed),0.8696,1.9164
open-circuit (dashed),0.872,1.9153
open-circuit (dashed),0.8828,1.9055
open-circuit (dashed),0.8852,1.9033
open-circuit (dashed),0.8876,1.9022
open-circuit (dashed),0.89,1.9001
open-circuit (dashed),0.9008,1.8892
open-circuit (dashed),0.9032,1.8892
open-circuit (dashed),0.9056,1.887
open-circuit (dashed),0.9081,1.8848
open-circuit (dashed),0.9105,1.8837
open-circuit (dashed),0.9201,1.875
open-circuit (dashed),0.9225,1.8717
open-circuit (dashed),0.9249,1.8685
open-circuit (dashed),0.9273,1.8674
open-circuit (dashed),0.9381,1.8543
open-circuit (dashed),0.9405,1.8532
open-circuit (dashed),0.9429,1.8499
open-circuit (dashed),0.9453,1.8467
open-circuit (dashed),0.9477,1.8445
open-circuit (dashed),0.9573,1.8314
open-circuit (dashed),0.9597,1.8292
open-circuit (dashed),0.9621,1.8249
open-circuit (dashed),0.9645,1.8238
open-circuit (dashed),0.9754,1.8041
open-circuit (dashed),0.9778,1.7998
open-circuit (dashed),0.9802,1.7943
open-circuit (dashed),0.9826,1.7911
open-circuit (dashed),0.991,1.7638
open-circuit (dashed),0.9934,1.7496
I=5,0.0102,2.5209
I=5,0.015,2.498
I=5,0.0198,2.4909
I=5,0.0246,2.4822
I=5,0.0295,2.4713
I=5,0.0343,2.4647
I=5,0.0391,2.456
I=5,0.0439,2.4473
I=5,0.0487,2.443
I=5,0.0535,2.4386
I=5,0.0583,2.4299
I=5,0.0631,2.4255
I=5,0.0679,2.4211
I=5,0.0727,2.4168
I=5,0.0775,2.4124
I=5,0.0823,2.4037
I=5,0.0871,2.4037
I=5,0.092,2.395
I=5,0.0968,2.3928
I=5,0.1016,2.3863
I=5,0.1064,2.3841
I=5,0.1112,2.3819
I=5,0.116,2.3732
I=5,0.1208,2.371
I=5,0.1256,2.3688
I=5,0.1304,2.3645
I=5,0.1352,2.3601
I=5,0.14,2.3557
I=5,0.1448,2.3514
I=5,0.1496,2.347
I=5,0.1545,2.3427
I=5,0.1593,2.3383
I=5,0.1641,2.3383
I=5,0.1689,2.3339
I=5,0.1737,2.3296
I=5,0.1785,2.3252
I=5,0.1833,2.3209
I=5,0.1881,2.3209
I=5,0.1929,2.3165
I=5,0.1977,2.3121
I=5,0.2025,2.3078
I=5,0.2073,2.3078
I=5,0.2121,2.3034
I=5,0.217,2.2991
I=5,0.2218,2.2947
I=5,0.2266,2.2925
I=5,0.2314,2.2903
I=5,0.2362,2.286
I=5,0.241,2.2838
I=5,0.2458,2.2816
I=5,0.2506,2.2772
I=5,0.2554,2.2729
I=5,0.2602,2.2685
I=5,0.265,2.2642
I=5,0.2698,2.262
I=5,0.2746,2.2598
I=5,0.2794,2.2576
I=5,0.2843,2.2555
I=5,0.2891,2.2511
I=5,0.2939,2.2467
I=5,0.2987,2.2424
I=5,0.3035,2.2424
I=5,0.3083,2.238
I=5,0.3131,2.2336
I=5,0.3179,2.2293
I=5,0.3227,2.2271
I=5,0.3275,2.2249
I=5,0.3323,2.2206
I=5,0.3371,2.2162
I=5,0.3419,2.2162
I=5,0.3468,2.2119
I=5,0.3516,2.2075
I=5,0.3564,2.2031
I=5,0.3612,2.2031
I=5,0.366,2.1988
I=5,0.3708,2.1944
I=5,0.3756,2.19
I=5,0.3804,2.1857
I=5,0.3852,2.1857
I=5,0.39,2.1813
I=5,0.3948,2.177
I=5,0.3996,2.177
I=5,0.4044,2.1726
I=5,0.4093,2.1682
I=5,0.4141,2.1682
I=5,0.4189,2.1639
I=5,0.4237,2.1595
I=5,0.4285,2.1552
I=5,0.4333,2.1552
I=5,0.4381,2.1508
I=5,0.4429,2.1464
I=5,0.4477,2.1421
I=5,0.4525,2.1421
I=5,0.4573,2.1377
I=5,0.4621,2.1334
I=5,0.4669,2.129
I=5,0.4718,2.129
I=5,0.4766,2.1268
I=5,0.4814,2.1246
I=5,0.4862,2.1203
I=5,0.491,2.1181
I=5,0.4958,2.1159
I=5,0.5006,2.1116
I=5,0.5054,2.1116
I=5,0.5102,2.1072
I=5,0.515,2.1028
I=5,0.5198,2.1028
I=5,0.5246,2.0985
I=5,0.5294,2.0941
I=5,0.5343,2.0897
I=5,0.5391,2.0897
I=5,0.5439,2.0854
I=5,0.5487,2.081
I=5,0.5535,2.081
I=5,0.5583,2.0767
I=5,0.5631,2.0723
I=5,0.5679,2.0723
I=5,0.5727,2.068
I=5,0.5775,2.0636
I=5,0.5823,2.0592
I=5,0.5871,2.0592
I=5,0.5919,2.0549
I=5,0.5968,2.0505
I=5,0.6016,2.0461
I=5,0.6064,2.0461
I=5,0.6112,2.0418
I=5,0.616,2.0418
I=5,0.6208,2.0374
I=5,0.6256,2.0331
I=5,0.6304,2.0287
I=5,0.6352,2.0271
I=5,0.64,2.0244
I=5,0.6448,2.02
I=5,0.6496,2.0156
I=5,0.6544,2.0113
I=5,0.6593,2.0113
I=5,0.6641,2.0069
I=5,0.6689,2.0025
I=5,0.6737,2.0025
I=5,0.6785,1.9982
I=5,0.6833,1.9938
I=5,0.6881,1.9916
I=5,0.6929,1.9895
I=5,0.6977,1.9851
I=5,0.7025,1.9807
I=5,0.7073,1.9764
I=5,0.7121,1.9742
I=5,0.7169,1.972
I=5,0.7218,1.9677
I=5,0.7266,1.9655
I=5,0.7314,1.9633
I=5,0.7362,1.9589
I=5,0.741,1.9546
I=5,0.7458,1.9502
I=5,0.7506,1.9459
I=5,0.7554,1.9437
I=5,0.7602,1.9415
I=5,0.765,1.9371
I=5,0.7698,1.935
I=5,0.7746,1.9328
I=5,0.7794,1.9284
I=5,0.7843,1.9241
I=5,0.7891,1.9197
I=5,0.7939,1.9153
I=5,0.7987,1.9131
I=5,0.8035,1.911
I=5,0.8083,1.9066
I=5,0.8131,1.9022
I=5,0.8179,1.8979
I=5,0.8227,1.8957
I=5,0.8275,1.8935
I=5,0.8323,1.8892
I=5,0.8371,1.8848
I=5,0.8419,1.8804
I=5,0.8468,1.8761
I=5,0.8516,1.8728
I=5,0.8564,1.8717
I=5,0.8612,1.8652
I=5,0.866,1.8597
I=5,0.8708,1.8565
I=5,0.8756,1.8543
I=5,0.8804,1.8499
I=5,0.8852,1.8445
I=5,0.89,1.8412
I=5,0.8948,1.8369
I=5,0.8996,1.8325
I=5,0.9044,1.8281
I=5,0.9093,1.8238
I=5,0.9141,1.8183
I=5,0.9189,1.8139
I=5,0.9237,1.8085
I=5,0.9285,1.802
I=5,0.9333,1.7987
I=5,0.9381,1.7932
I=5,0.9429,1.7867
I=5,0.9477,1.7802
I=5,0.9525,1.7736
I=5,0.9573,1.7671
I=5,0.9621,1.7584
I=5,0.9669,1.7507
I=5,0.9718,1.7398
I=5,0.9766,1.7311
I=5,0.9814,1.7191
I=5,0.9862,1.7039
I=5,0.991,1.6821
I=5,0.9958,1.6406
I=10,0.0024,2.4949
I=10,0.006,2.4949
I=10,0.0096,2.4931
I=10,0.0132,2.4844
I=10,0.0168,2.4667
I=10,0.0204,2.4647
I=10,0.024,2.4517
I=10,0.0276,2.443
I=10,0.0312,2.4342
I=10,0.0349,2.4255
I=10,0.0385,2.4211
I=10,0.0421,2.4124
I=10,0.0457,2.4081
I=10,0.0493,2.3994
I=10,0.0529,2.3928
I=10,0.0565,2.3906
I=10,0.0601,2.3841
I=10,0.0637,2.3775
I=10,0.0673,2.3732
I=10,0.0709,2.3688
I=10,0.0745,2.3645
I=10,0.0781,2.3601
I=10,0.0817,2.3557
I=10,0.0853,2.3514
I=10,0.0889,2.347
I=10,0.0925,2.3427
I=10,0.0961,2.3383
I=10,0.0998,2.3339
I=10,0.1034,2.3296
I=10,0.107,2.3252
I=10,0.1106,2.323
I=10,0.1142,2.3209
I=10,0.1178,2.3165
I=10,0.1214,2.3121
I=10,0.125,2.3078
I=10,0.1286,2.3034
I=10,0.1322,2.3012
I=10,0.1358,2.2991
I=10,0.1394,2.2947
I=10,0.143,2.2903
I=10,0.1466,2.286
I=10,0.1502,2.286
I=10,0.1538,2.2816
I=10,0.1575,2.2772
I=10,0.1611,2.2772
I=10,0.1647,2.2707
I=10,0.1683,2.2685
I=10,0.1719,2.2642
I=10,0.1755,2.262
I=10,0.1791,2.2598
I=10,0.1827,2.2555
I=10,0.1863,2.2511
I=10,0.1899,2.2511
I=10,0.1935,2.2467
I=10,0.1971,2.2467
I=10,0.2007,2.2424
I=10,0.2043,2.238
I=10,0.2079,2.2336
I=10,0.2115,2.2293
I=10,0.2151,2.2293
I=10,0.2188,2.2249
I=10,0.2224,2.2206
I=10,0.226,2.2206
I=10,0.2296,2.2162
I=10,0.2332,2.214
I=10,0.2368,2.2075
I=10,0.2404,2.2075
I=10,0.244,2.2031
I=10,0.2476,2.2031
I=10,0.2512,2.1988
I=10,0.2548,2.1944
I=10,0.2584,2.19
I=10,0.262,2.19
I=10,0.2656,2.1857
I=10,0.2692,2.1813
I=10,0.2728,2.1813
I=10,0.2764,2.177
I=10,0.2801,2.177
I=10,0.2837,2.1726
I=10,0.2873,2.1682
I=10,0.2909,2.1682
I=10,0.2945,2.1639
I=10,0.2981,2.1595
I=10,0.3017,2.1595
I=10,0.3053,2.1552
I=10,0.3089,2.1552
I=10,0.3125,2.1508
I=10,0.3161,2.1464
I=10,0.3197,2.1464
I=10,0.3233,2.1421
I=10,0.3269,2.1377
I=10,0.3305,2.1377
I=10,0.3341,2.1334
I=10,0.3377,2.129
I=10,0.3413,2.129
I=10,0.3449,2.1246
I=10,0.3486,2.1225
I=10,0.3522,2.1203
I=10,0.3558,2.1159
I=10,0.3594,2.1159
I=10,0.363,2.1116
I=10,0.3666,2.1072
I=10,0.3702,2.1072
I=10,0.3738,2.1028
I=10,0.3774,2.0985
I=10,0.381,2.0985
I=10,0.3846,2.0941
I=10,0.3882,2.0941
I=10,0.3918,2.0897
I=10,0.3954,2.0854
I=10,0.399,2.0854
I=10,0.4026,2.081
I=10,0.4062,2.081
I=10,0.4099,2.0767
I=10,0.4135,2.0745
I=10,0.4171,2.0723
I=10,0.4207,2.068
I=10,0.4243,2.068
I=10,0.4279,2.0636
I=10,0.4315,2.0592
I=10,0.4351,2.0592
I=10,0.4387,2.0549
I=10,0.4423,2.0549
I=10,0.4459,2.0505
I=10,0.4495,2.0483
I=10,0.4531,2.0461
I=10,0.4567,2.0418
I=10,0.4603,2.0418
I=10,0.4639,2.0374
I=10,0.4676,2.0331
I=10,0.4712,2.0331
I=10,0.4748,2.03
I=10,0.4784,2.0265
I=10,0.482,2.0244
I=10,0.4856,2.0222
I=10,0.4892,2.02
I=10,0.4928,2.0178
I=10,0.4964,2.0156
I=10,0.5,2.0113
I=10,0.5036,2.0113
I=10,0.5072,2.0069
I=10,0.5108,2.0069
I=10,0.5144,2.0025
I=10,0.518,2.0025
I=10,0.5216,1.9982
I=10,0.5252,1.996
I=10,0.5289,1.9895
I=10,0.5324,1.9895
I=10,0.5361,1.9851
I=10,0.5397,1.9851
I=10,0.5433,1.9807
I=10,0.5469,1.9786
I=10,0.5505,1.9764
I=10,0.5541,1.972
I=10,0.5577,1.972
I=10,0.5613,1.9677
I=10,0.5649,1.9633
I=10,0.5685,1.9611
I=10,0.5721,1.9589
I=10,0.5757,1.9546
I=10,0.5793,1.9546
I=10,0.5829,1.9502
I=10,0.5865,1.9459
I=10,0.5901,1.9459
I=10,0.5938,1.9415
I=10,0.5974,1.9415
I=10,0.601,1.9371
I=10,0.6046,1.9328
I=10,0.6082,1.9328
I=10,0.6118,1.9284
I=10,0.6154,1.9241
I=10,0.619,1.9241
I=10,0.6226,1.9197
I=10,0.6262,1.9175
I=10,0.6298,1.9153
I=10,0.6334,1.911
I=10,0.637,1.9066
I=10,0.6406,1.9066
I=10,0.6442,1.9022
I=10,0.6478,1.9001
I=10,0.6514,1.8979
I=10,0.6551,1.8935
I=10,0.6586,1.8892
I=10,0.6623,1.8892
I=10,0.6659,1.8848
I=10,0.6695,1.8804
I=10,0.6731,1.8804
I=10,0.6767,1.8761
I=10,0.6803,1.8717
I=10,0.6839,1.8696
I=10,0.6875,1.8674
I=10,0.6911,1.863
I=10,0.6947,1.8586
I=10,0.6983,1.8586
I=10,0.7019,1.8543
I=10,0.7055,1.8499
I=10,0.7091,1.8478
I=10,0.7127,1.8434
I=10,0.7164,1.8412
I=10,0.7199,1.8369
I=10,0.7236,1.8325
