# Richardson, J. F. and Zaki, W. N. (1954) "Sedimentation and fluidisation: Part I",
# Trans. Instn Chem. Engrs 32, 35-53.  Read from the verbatim reprint in
# Trans IChemE 75 (Dec 1997) Jubilee Supplement, S82-S100; these tables are on
# reprint pages S88 (Table I) and S89 (Table II).
#
# TABLE I  - sedimentation experiments, Reynolds number < 0.2 (as titled)
# TABLE II - sedimentation experiments, Reynolds number > 0.2 (as titled)
#
# One row per (run, tube).  A "run group" is one particle/liquid pair measured in
# two or three tubes; the group's d, rho_s, mu, rho, V0, Re and log10 V0 are
# printed once and repeated here on every row of the group.
#
# V0 in Table I is the TERMINAL FALLING VELOCITY FROM STOKES' LAW (the column is
# headed "Terminal falling velocity Stokes' law V0"); in Table II the column is
# headed "Terminal falling velocity" with no qualifier.
#
# EXPONENTS.  The mantissas print cleanly at 600 dpi; several exponent glyphs do
# not (this is the documented pre-1980 Elsevier scan trap).  Every exponent
# recorded here was settled from quantities printed in the SAME ROW - the
# log10 V0 column, Stokes' law from the printed d, rho_s, rho and mu, the
# Reynolds definition Re = V0 d rho / mu, and d/D x D = d - not by inference from
# what "looks right".  exponent_resolved marks the cells where the glyph itself
# was not decisive.  See the .meta.yaml sidecar for the full list.
#
# Columns
#   table                : I or II
#   runs                 : run letters/numbers as printed, group order preserved
#   particle             : as printed
#   d_cm                 : particle diameter, cm
#   rho_s_g_cm3          : particle density
#   liquid               : as printed
#   mu_cP                : liquid viscosity, centipoise
#   rho_g_cm3            : liquid density
#   V0_cm_s              : terminal falling velocity column, cm/s
#   Re_printed           : Reynolds number column
#   log10_V0_printed     : Log10 V0 column
#   D_cm                 : tube diameter, cm
#   d_over_D_printed     : d/D column
#   intercept_log10_Vc_at_eps1 : "Intercept at eps = 1" column
#   slope_n              : "Slope" column - the MEASURED exponent n
#   exponent_resolved    : 1 if any exponent in this group came from a row identity
#   flag                 : transcription anomalies, see sidecar
table,runs,particle,d_cm,rho_s_g_cm3,liquid,mu_cP,rho_g_cm3,V0_cm_s,Re_printed,log10_V0_printed,D_cm,d_over_D_printed,intercept_log10_Vc_at_eps1,slope_n,exponent_resolved,flag
I,K,Ballotini,9.6e-3,2.923,80% Glycerol,62.0,1.208,1.39e-2,2.61e-4,-1.857,2.8,3.45e-3,-1.83,4.75,1,
I,L,Ballotini,9.6e-3,2.923,80% Glycerol,62.0,1.208,1.39e-2,2.61e-4,-1.857,4.8,2.01e-3,-1.83,4.65,1,
I,N,Ballotini,9.6e-3,2.923,Ethylene Dibromide,1.612,2.17,2.34e-1,3.02e-1,-0.632,1.9,5.8e-3,-0.625,4.74,1,d_over_D_inconsistent;Re_above_table_title
I,O,Ballotini,9.6e-3,2.923,Ethylene Dibromide,1.612,2.17,2.34e-1,3.02e-1,-0.632,3.2,3.01e-3,-0.625,4.65,1,Re_above_table_title
I,T,Ballotini,1.28e-2,2.96,Bromoform,1.89,2.89,3.307e-2,6.47e-2,-1.481,1.9,6.7e-3,-1.48,4.84,1,
I,M,Ballotini,1.28e-2,2.96,Bromoform,1.89,2.89,3.307e-2,6.47e-2,-1.481,3.2,4.0e-3,-1.48,4.72,1,
I,R,Ballotini,2.3e-2,2.623,80% Glycerol,62.0,1.208,6.59e-2,2.95e-3,-1.181,1.9,1.22e-2,-1.175,4.85,1,
I,S,Ballotini,2.3e-2,2.623,80% Glycerol,62.0,1.208,6.59e-2,2.95e-3,-1.181,3.2,6.97e-3,-1.175,4.8,1,
I,X,Ballotini,1.029e-1,2.976,85% Glycerol,112.9,1.221,8.91e-1,9.95e-2,-0.0501,2.8,3.67e-2,-0.06,5.3,1,
I,Y,Ballotini,1.029e-1,2.976,85% Glycerol,112.9,1.221,8.91e-1,9.95e-2,-0.0501,3.8,2.7e-2,-0.06,5.2,1,
II,8,Ballotini,2.3e-2,2.623,Bromoform,1.89,2.89,0.349,1.227,-0.457,2.7,8.52e-3,-0.457,4.45,0,particles_rising
II,9,Ballotini,2.3e-2,2.623,Bromoform,1.89,2.89,0.349,1.227,-0.457,1.9,1.21e-2,-0.457,4.52,0,particles_rising
II,12,Ballotini,2.3e-2,2.623,Bromoform,1.89,2.89,0.349,1.227,-0.457,4.8,4.79e-3,0.45,4.41,0,particles_rising;intercept_printed_without_minus_sign
II,10,Ballotini,2.3e-2,2.623,Ethylene Dibromide,1.612,2.17,0.6525,2.021,-0.185,2.7,8.52e-3,-0.185,4.3,0,
II,11,Ballotini,2.3e-2,2.623,Ethylene Dibromide,1.612,2.17,0.6525,2.021,-0.185,1.9,1.21e-2,-0.185,4.35,0,
II,13,Ballotini,2.3e-2,2.623,Ethylene Dibromide,1.612,2.17,0.6525,2.021,-0.185,4.8,4.79e-3,-0.185,4.24,0,
II,14,Ballotini,1.029e-1,2.976,60% Glycerol,10.96,1.153,6.03,6.53,0.78,2.8,3.67e-2,0.78,4.3,0,
II,15,Ballotini,1.029e-1,2.976,60% Glycerol,10.96,1.153,6.03,6.53,0.78,4.8,2.14e-2,0.78,4.07,0,
II,16,Ballotini,1.029e-1,2.976,60% Glycerol,10.96,1.153,6.03,6.53,0.78,6.2,1.66e-2,0.78,4.0,0,
II,2,Ballotini,1.029e-1,2.976,Bromoform,1.89,2.89,1.16,18.18,0.0644,3.2,3.21e-2,0.064,3.8,0,
II,5,Ballotini,1.029e-1,2.976,Bromoform,1.89,2.89,1.16,18.18,0.0644,4.8,2.14e-2,0.064,3.64,0,
II,6,Ballotini,1.029e-1,2.976,Bromoform,1.89,2.89,1.16,18.18,0.0644,2.8,3.67e-2,0.064,3.86,0,
II,4,Ballotini,1.029e-1,2.976,Mixture of Bromoform S.G. and Bromoform B.P.C.,1.839,2.745,2.48,38.26,0.3944,5.0,2.056e-2,0.394,3.34,0,
II,3,Ballotini,1.029e-1,2.976,Mixture of Bromoform S.G. and Bromoform B.P.C.,1.839,2.745,2.48,38.26,0.3944,2.8,3.675e-2,0.394,3.56,0,
II,1,Ballotini,1.029e-1,2.976,Mixture of Bromoform S.G. and Bromoform B.P.C.,1.839,2.745,2.48,38.26,0.3944,3.2,3.21e-2,0.394,3.5,0,
