marker_id,Re,Sh,Re_prev,Sh_prev,col_px,row_px,col_px_prev,row_px_prev,shape_fitted,fit_score,recentred,pass
16,44.65,8.7,44.65,8.7,1110.51,908.0,1110.51,908.0,tri_up,0.254,False,2026-07-30
17,48.9293,11.4346,49.6,11.51,1126.61,867.92,1129.01,866.96,tri_up,0.55,True,2026-07-30
17,49.1425,11.4153,49.32,11.43,1127.38,868.17,1128.01,867.98,tri_up,0.525,True,2026-07-30
18,50.0398,10.0705,48.76,9.836,1130.56,886.55,1126.0,890.0,plus,0.514,True,2026-07-30
19,51.1767,8.1318,52.2,8.071,1134.52,917.91,1138.0,919.01,circle,0.877,True,2026-07-30
20,52.5,11.99,52.5,11.99,1139.01,860.97,1139.01,860.97,tri_down,0.404,False,2026-07-30
21,54.7479,14.2227,55.25,14.31,1146.39,835.92,1147.99,835.03,square,0.753,True,2026-07-30
22,57.17,13.19,57.17,13.19,1154.0,846.98,1154.0,846.98,square,0.378,False,2026-07-30
23,58.82,10.97,58.82,10.97,1159.01,874.0,1159.01,874.0,plus,0.207,False,2026-07-30
24,65.52,13.74,65.52,13.74,1177.99,840.99,1177.99,840.99,tri_down,0.12,False,2026-07-30
25,67.0846,21.931,66.65,21.7,1182.15,772.41,1181.0,773.97,circle,0.741,True,2026-07-30
26,72.58,11.82,72.58,11.82,1196.0,863.06,1196.0,863.06,tri_right,0.054,False,2026-07-30
27,73.5182,10.2349,76.39,10.75,1198.26,884.18,1205.01,876.97,circle,0.851,True,2026-07-30
28,77.26,12.32,77.26,12.32,1207.0,856.98,1207.0,856.98,tri_up,0.084,False,2026-07-30
29,77.4661,35.1753,75.52,34.97,1207.47,703.13,1202.99,703.99,circle,0.92,True,2026-07-30
30,87.2431,19.153,86.56,19.19,1228.38,792.28,1227.0,791.99,circle,0.613,True,2026-07-30
31,89.9325,10.5229,92.14,10.53,1233.73,880.11,1237.99,880.01,circle,0.941,True,2026-07-30
32,91.0427,22.5305,92.67,23.55,1235.89,768.46,1239.0,761.97,circle,0.869,True,2026-07-30
32,91.1229,22.5313,92.14,23.07,1236.04,768.45,1237.99,764.99,circle,0.869,True,2026-07-30
33,93.2,16.97,93.2,16.97,1240.01,810.02,1240.01,810.02,square,0.418,False,2026-07-30
34,101.9301,14.2521,101.5,14.31,1255.76,835.62,1255.02,835.03,circle,0.716,True,2026-07-30
35,120.4936,27.475,120.4,27.92,1285.21,739.36,1285.07,737.01,circle,0.785,True,2026-07-30
35,120.5401,27.4588,121.0,28.3,1285.27,739.45,1285.94,735.03,circle,0.785,True,2026-07-30
36,125.5898,35.2329,122.4,35.45,1292.5,702.89,1287.97,701.99,circle,0.864,True,2026-07-30
36,125.5898,35.2331,122.4,34.97,1292.5,702.89,1287.97,703.99,circle,0.864,True,2026-07-30
36,125.6634,35.2499,128.1,34.97,1292.6,702.82,1295.98,703.99,circle,0.863,True,2026-07-30
37,126.2776,23.0504,127.4,22.6,1293.46,765.11,1295.01,768.01,circle,0.819,True,2026-07-30
38,128.3221,25.7169,130.3,25.99,1296.28,749.06,1298.98,747.51,circle,0.64,True,2026-07-30
39,146.6741,22.951,146.8,23.87,1319.81,765.75,1319.96,759.99,circle,0.761,True,2026-07-30
40,146.8,20.97,146.8,20.97,1319.96,778.99,1319.96,778.99,tri_up,0.399,False,2026-07-30
39,146.8263,22.9227,147.7,23.71,1319.99,765.93,1321.03,760.98,circle,0.761,True,2026-07-30
41,151.946,10.7229,153.7,10.68,1326.02,877.34,1328.04,877.93,plus,0.967,True,2026-07-30
42,152.5385,15.9763,151.1,15.96,1326.71,818.87,1325.04,819.02,square,0.891,True,2026-07-30
43,153.3847,13.5991,152.8,13.6,1327.68,842.5,1327.01,842.49,tri_right,0.793,True,2026-07-30
43,153.397,13.6005,151.1,13.6,1327.69,842.48,1325.04,842.49,tri_right,0.793,True,2026-07-30
44,181.8812,26.3131,,,1357.67,745.7,,,square,0.567,True,2026-08-02
45,190.8422,17.0435,191.8,16.97,1366.13,809.39,1367.01,810.02,plus,0.949,True,2026-07-30
46,191.7202,30.8026,195.1,30.3,1366.94,722.6,1370.01,725.01,tri_up,0.597,True,2026-07-30
47,217.3,25.73,217.3,25.73,1388.98,748.99,1388.98,748.99,tri_up,0.159,False,2026-07-30
48,233.6986,31.7033,230.7,30.93,1401.78,718.37,1399.51,721.99,tri_up,0.818,True,2026-07-30
49,239.8,23.96,239.8,23.96,1406.31,759.44,1406.31,759.44,plus,0.429,False,2026-07-30
50,241.4,25.73,241.4,25.73,1407.49,748.99,1407.49,748.99,tri_down,0.496,False,2026-07-30
51,248.1079,18.0309,247.7,18.17,1412.31,801.13,1412.02,800.0,plus,0.96,True,2026-07-30
52,248.613,15.0069,249.1,15.01,1412.67,828.05,1413.01,828.02,plus,0.961,True,2026-07-30
53,278.7072,50.4079,278.3,50.19,1432.77,650.37,1432.52,651.0,tri_down,0.882,True,2026-07-30
54,283.2589,29.4173,283.9,30.51,1435.62,729.35,1436.02,724.0,tri_right,0.599,True,2026-07-30
55,283.9851,18.7638,290.4,18.8,1436.08,795.29,1440.01,795.01,square,0.843,True,2026-07-30
55,283.9938,18.7638,285.5,18.8,1436.08,795.29,1437.01,795.01,square,0.843,True,2026-07-30
56,294.7992,37.9059,298.8,37.69,1442.65,692.17,1445.02,693.01,tri_right,0.821,True,2026-07-30
57,373.4212,27.4433,370.8,27.73,1484.26,739.53,1483.02,738.01,tri_down,0.565,True,2026-07-30
58,374.3328,22.3217,377.1,22.14,1484.68,769.83,1485.98,771.02,plus,0.978,True,2026-07-30
59,388.2236,40.1455,388.0,40.21,1491.1,683.75,1490.99,683.51,tri_right,0.892,True,2026-07-30
60,396.9242,25.2443,,,1495.0,751.78,,,tri_right,0.69,True,2026-08-02
61,467.8141,30.9345,,,1523.91,721.97,,,tri_right,0.598,True,2026-08-02
62,475.4823,27.8206,484.3,28.89,1526.77,737.53,1530.01,732.0,tri_down,0.587,True,2026-07-30
63,499.0879,38.0594,495.4,39.0,1535.3,691.58,1534.0,688.0,tri_right,0.819,True,2026-07-30
64,499.7854,33.4141,,,1535.55,710.66,,,tri_up,0.671,True,2026-08-02
65,501.8119,29.6884,,,1536.26,728.0,,,tri_up,0.599,True,2026-08-02
66,532.4901,27.8108,,,1546.7,737.58,,,tri_down,0.697,True,2026-08-02
67,554.8358,33.4797,551.9,33.8,1553.94,710.38,1553.0,708.98,circle,0.803,True,2026-07-30
68,562.1861,64.9033,561.4,64.6,1556.25,613.3,1556.01,613.99,tri_down,0.931,True,2026-07-30
69,616.4093,31.2482,614.8,31.35,1572.45,720.49,1571.99,720.02,tri_down,0.753,True,2026-07-30
70,617.8384,38.6818,625.4,38.47,1572.86,689.2,1575.0,690.0,circle,0.776,True,2026-07-30
71,706.0326,32.2296,708.7,32.22,1596.34,715.96,1597.01,716.0,tri_right,0.852,True,2026-07-30
72,728.0564,54.6633,754.4,53.73,1601.75,638.48,1608.0,641.01,tri_right,0.735,True,2026-07-30
73,731.6712,47.1779,722.2,48.4,1602.62,660.08,1600.33,656.33,tri_up,0.767,True,2026-07-30
74,814.5327,84.2522,798.5,82.01,1621.5,575.04,1618.0,578.99,tri_up,0.715,True,2026-07-30
75,827.7896,65.2124,809.9,65.48,1624.34,612.61,1620.5,612.0,plus,0.944,True,2026-07-30
76,832.7993,46.1541,807.6,46.72,1625.4,663.3,1620.0,661.51,plus,0.947,True,2026-07-30
76,834.9129,46.1501,830.9,46.88,1625.85,663.31,1625.0,661.01,plus,0.936,True,2026-07-30
77,854.8873,35.0725,,,1630.01,703.56,,,plus,0.782,True,2026-08-02
78,918.6195,36.2246,,,1642.66,698.82,,,tri_up,0.687,True,2026-08-02
