# Brunauer, Emmett & Teller (1938), J. Am. Chem. Soc. 60(2) 309-319.
# Every NUMBER STATED IN PROSE, IN A FOOTNOTE, OR IN A TYPESET CONSTANT BLOCK
# INSIDE A FIGURE FRAME that this page checks. NO CURVE IS DIGITISED ANYWHERE:
# the figure entries below are hand-lettered constant blocks and axis-frame
# legends, read as characters off a 300 ppi native render, cropped to the block.
# `printed` is verbatim as a number; `where` gives journal page and locus.
# Transcribed 2026-08-07.
key,printed,units,where,what_it_is
bradley_vm_layers_CuSO4,18.5,layers,p.317 text,thickness Bradley assigned to what BET consider a unimolecular layer
emmett_brunauer_bradley_area_factor,20,-,p.310 text,"factor by which Bradley's surface estimate was thought low (""a factor of 20 or so"")"
bet_window_low,0.05,p/p0,p.313 and p.315 text,lower end of the relative-pressure window where the eq. (A) plots are linear
bet_window_high,0.35,p/p0,p.313 text,upper end of the relative-pressure window where the eq. (A) plots are linear
bet_window_high_upper,0.50,p/p0,p.316 text,"upper end of the range quoted on p. 316 (""in excess of about 0.35 to 0.50"")"
t1_N2_band_centre,840,cal/mol,p.315 text,"""For nitrogen E1 - EL is uniformly 840 +- 70 cal."" over the twelve isotherms of Table I"
t1_N2_band_half,70,cal/mol,p.315 text,half-width of the same statement
EL_nitrogen,1330,cal/mol,p.315 text,"heat of liquefaction of nitrogen (""EL is about 1330 cal."")"
E1_nitrogen,2170,cal/mol,p.315 text,E1 for nitrogen on all twelve adsorbents (840 + 1330)
E1_nitrogen_half,70,cal/mol,p.315 text,half-width carried over to E1
t2_N2_centre,840,cal/mol,p.315 text,E1-EL for nitrogen over the two substances of Table II
t2_N2_half,50,cal/mol,p.315 text,half-width for nitrogen over Table II
t2_A_centre,650,cal/mol,p.315 text,E1-EL for argon over the two substances of Table II
t2_A_half,55,cal/mol,p.315 text,half-width for argon over Table II
t2_CO2_centre,1460,cal/mol,p.315 text,E1-EL for carbon dioxide over the two substances of Table II
t2_CO2_half,120,cal/mol,p.315 text,half-width for carbon dioxide over Table II
t2_C4H10_centre,1900,cal/mol,p.315 text,E1-EL for butane over the two substances of Table II
t2_C4H10_half,30,cal/mol,p.315 text,half-width for butane over Table II
t1_vm_vs_B_tolerance,10,%,p.315 text,"""the two seldom differing by as much as 10%"" (v_m against point B, twelve isotherms)"
single_point_error,5,%,p.315 text,error of the single-point slope-to-origin estimate of 1/v_m for nitrogen at -183
single_point_x,0.3333333333,p/p0,p.315 text,"the relative pressure at which the 760-mm point sits (""v_m is 2/3 of the volume adsorbed when p/p0 = 1/3"")"
curve4_slope_error,3,%,p.315 text,change in the Fig. 1 curve-4 slope if the highest point is joined to the origin
t3_solid_mean,440,m2/g,p.315 text,average surface from the seven silica-gel isotherms on solid-like packing
t3_solid_maxdev,15,%,p.315 text,maximum deviation from that average
t3_liquid_mean,500,m2/g,p.315 text,average surface from the seven silica-gel isotherms on liquid-like packing
t3_liquid_maxdev,10,%,p.315 text,maximum deviation from that average
t3_butane_vm_over_B,2,-,p.315 text,"""for butane the former is twice as large as the latter"" (v_m against point B)"
t5_solid_mean,708,m2/g,p.318 text,mean charcoal surface from the seven non-butane isotherms on solid-like packing
t5_solid_maxdev,9,%,p.318 text,maximum deviation from that mean
t5_liquid_mean,829,m2/g,p.318 text,mean charcoal surface from the seven non-butane isotherms on liquid-like packing
t5_liquid_maxdev,8,%,p.318 text,maximum deviation from that mean
t5_butane_deficit,25,%,p.318 text,"""Butane adsorption on charcoal is decidedly smaller (about 25%)"" than expected"
eqB_err_at_058,5,%,p.316 text,error of the n = 6 curve of eq. (B) at x = 0.58 where n = 5 fits
eqB_err_at_072,-7,%,p.316 text,error of the n = 6 curve of eq. (B) at x = 0.72 where n = 7 fits
eqB_x_n5,0.58,p/p0,p.316 text,relative pressure up to which n = 5 fits the Fig. 3 data
eqB_x_n7,0.72,p/p0,p.316 text,relative pressure at which n = 7 gives the better fit
darco_n,2.2,-,p.316 text,n fitting oxygen at -183 on Granular Darco G from x = 0.02 to 0.93
darco_maxdev,4,%,p.316 text,worst departure of those points from the eq. (B) curve
t4_vm_ratio,1.43,-,p.317 text,v_m at -80 divided by v_m at 40 for SO2 on silica gel
t4_dL_ratio_power,1.15,-,p.317 text,the same ratio predicted by the d_L^(2/3) rule
t4_n,3.5,layers,p.317 Table IV footer,n fitted to all six SO2 isotherms
cuso4_E1_EL_bradley,745,cal/mol,p.317 text,E1-EL for argon on anhydrous copper sulfate from Bradley's isotherms
cuso4_E1_EL_ours,777,cal/mol,p.317 text,E1-EL for argon on anhydrous copper sulfate from BET's own isotherms
cuso4_n,5,-,p.317 text,"n for both copper-sulfate cases (""about 5"")"
cuso4_vm_bradley,6.4e-3,mol/mol,p.317 text,v_m for Bradley's argon isotherm on copper sulfate
cuso4_vm_ours,10.8e-3,mol/mol,p.317 text,v_m for BET's own argon isotherm on copper sulfate
pc_vm_acetone,50.6,micromole,p.317 text,v_m of acetone on vitreous silica from the eq. (A) plot of Palmer & Clark's isotherm
pc_sample_mass,14.67,g,p.317 text,mass of the vitreous silica sample
pc_area_HF,4690,cm2,p.317 text,specific surface of the same sample from Palmer & Clark's rate-of-solution-in-HF method
pc_sigma_acetone_liquid,26.9,angstrom2,p.317 text,area per acetone molecule from the density of liquid acetone at 25 C
pc_area_from_liquid,5640,cm2,p.317 text,specific surface BET obtain with that cross-section
pc_larger,20,%,p.317 text,"""about 20% larger than Palmer and Clark's value"""
pc_sigma_acetone_adam,20.5,angstrom2,p.317 text,area per acetone molecule from N. K. Adam's close-packed films
pc_area_from_adam,4290,cm2,p.317 text,specific surface BET obtain with that cross-section
pc_smaller,8,%,p.317 text,"""about 8% smaller than the value of Palmer and Clark"""
charcoal_linear_low,0.1,p/p0,p.318 text,relative pressure above which the eq. (E) charcoal plots are linear
fig3_vm,133.0,cc,p.314 Fig. 3 constants block,v_m fitted to N2 on Fe-Al2O3 catalyst 954 at 77.3 K (whole 50.4 g sample)
fig3_c,156.7,-,p.314 Fig. 3 constants block,c fitted to the same isotherm
fig3_mass,50.4,g,p.314 Fig. 3 frame legend,sample mass
fig3_T,77.3,K,p.314 Fig. 3 frame legend,temperature
fig4_N2_183_vm,124.7,cc,p.316 Fig. 4 constants block,v_m for N2 at -183 on catalyst 954 (whole 50.4 g sample)
fig4_N2_183_E,900,cal/mol,p.316 Fig. 4 constants block,E1-EL used for N2 at -183
fig4_N2_183_n,6,-,p.316 Fig. 4 constants block,n used for N2 at -183
fig4_N2_1958_vm,130,cc,p.316 Fig. 4 constants block,v_m for N2 at -195.8 -- a CALCULATED curve
fig4_N2_1958_E,900,cal/mol,p.316 Fig. 4 constants block,E1-EL used for N2 at -195.8
fig4_N2_1958_n,6,-,p.316 Fig. 4 constants block,n used for N2 at -195.8
fig4_A_183_vm,123.5,cc,p.316 Fig. 4 constants block,v_m for A at -183 on catalyst 954
fig4_A_183_E,700,cal/mol,p.316 Fig. 4 constants block,E1-EL used for A at -183
fig4_A_183_n,7,-,p.316 Fig. 4 constants block,n used for A at -183
fig4_A_1958_vm,128.4,cc,p.316 Fig. 4 constants block,v_m for A at -195.8 -- a CALCULATED curve
fig4_A_1958_E,700,cal/mol,p.316 Fig. 4 constants block,E1-EL used for A at -195.8
fig4_A_1958_n,7,-,p.316 Fig. 4 constants block,n used for A at -195.8
fig6_n,1,-,p.318 Fig. 6 constants block,n for ethyl chloride on charcoal (Goldman & Polanyi data)
fig6_E,1780,cal/mol,p.318 Fig. 6 constants block,E1-EL for ethyl chloride on charcoal
fig6_vm,5.14,g,p.318 Fig. 6 constants block,v_m for ethyl chloride on charcoal (whole 10 g sample)
