col_px,row_px,run_px,Re,Sh_minus_2_over_Sc13
958.0,725.0,3,105.031,17.9154
959.0,724.5,2,105.6333,17.9771
960.0,724.5,2,106.2391,17.9774
961.0,723.5,2,106.8484,18.1011
962.0,723.0,1,107.4611,18.1634
963.0,722.5,2,108.0774,18.226
964.0,722.0,1,108.6972,18.2887
965.0,721.5,2,109.3205,18.3517
966.0,721.5,2,109.9475,18.3521
967.0,720.5,2,110.578,18.4783
968.0,720.0,3,111.2121,18.542
969.0,720.0,3,111.8499,18.5423
970.0,719.0,3,112.4913,18.6699
986.0,730.0,5,123.2692,17.323
987.0,730.0,5,123.9761,17.3233
988.0,729.5,4,124.6871,17.383
989.0,729.5,4,125.4022,17.3833
990.0,729.0,3,126.1213,17.4432
991.0,729.0,3,126.8446,17.4435
1006.0,704.5,4,138.2051,20.6297
1007.0,704.0,3,138.9977,20.7008
1008.0,703.5,4,139.7948,20.772
1009.0,702.5,4,140.5965,20.9149
1010.0,702.5,4,141.4028,20.9153
1011.0,701.5,4,142.2137,21.0592
1012.0,701.0,3,143.0293,21.1317
1013.0,700.5,4,143.8495,21.2044
1014.0,699.5,4,144.6745,21.3503
1015.0,699.5,4,145.5042,21.3507
1016.0,698.5,4,146.3386,21.4976
1017.0,698.0,3,147.1778,21.5716
1018.0,697.5,4,148.0218,21.6459
1019.0,697.0,3,148.8707,21.7204
1020.0,696.5,4,149.7245,21.7952
1021.0,696.0,3,150.5831,21.8702
1022.0,695.5,4,151.4467,21.9455
1023.0,694.5,4,152.3152,22.0964
1024.0,694.0,3,153.1887,22.1725
1025.0,693.5,4,154.0672,22.2489
1026.0,693.0,3,154.9507,22.3255
1027.0,692.5,4,155.8393,22.4023
1028.0,691.5,4,156.733,22.5564
1029.0,691.5,4,157.6319,22.5569
1030.0,690.5,4,158.5358,22.712
1031.0,690.0,3,159.445,22.7902
1032.0,689.5,4,160.3594,22.8687
1033.0,689.0,3,161.279,22.9474
1034.0,688.5,4,162.2039,23.0264
1035.0,687.5,4,163.1341,23.1848
1036.0,687.0,3,164.0697,23.2646
1037.0,686.5,4,165.0106,23.3447
1038.0,686.5,4,165.9569,23.3451
1039.0,686.0,5,166.9086,23.4255
1040.0,686.0,5,167.8658,23.426
1041.0,685.0,5,168.8285,23.5871
1042.0,684.5,6,169.7967,23.6683
1043.0,684.0,5,170.7704,23.7498
1044.0,683.0,5,171.7497,23.9131
1045.0,683.0,5,172.7347,23.9136
1046.0,682.0,5,173.7253,24.0781
1047.0,681.5,6,174.7216,24.1609
1048.0,681.0,5,175.7236,24.2441
1049.0,680.0,5,176.7313,24.4109
1050.0,680.0,5,177.7448,24.4113
1051.0,679.5,4,178.7641,24.4954
1052.0,679.0,5,179.7893,24.5797
1053.0,678.0,5,180.8204,24.7488
1054.0,678.0,5,181.8573,24.7492
1055.0,677.0,5,182.9003,24.9195
1056.0,677.0,5,183.9492,24.9199
1057.0,676.0,5,185.0041,25.0913
1058.0,675.0,5,186.065,25.2639
1059.0,675.0,5,187.1321,25.2644
1060.0,674.0,5,188.2052,25.4381
1061.0,674.0,5,189.2845,25.4386
1082.0,660.5,6,213.4362,27.9087
1083.0,660.5,6,214.6602,27.9092
1084.0,660.5,4,215.8913,27.9098
1085.0,660.0,5,217.1293,28.0058
1086.0,659.5,4,218.3745,28.1022
1087.0,659.5,4,219.6269,28.1028
1088.0,658.5,4,220.8864,28.296
1089.0,658.5,6,222.1531,28.2966
1114.0,649.0,3,256.2945,30.2091
1115.0,648.5,4,257.7643,30.313
1116.0,648.0,3,259.2425,30.4174
1117.0,648.0,3,260.7292,30.418
1118.0,647.0,3,262.2244,30.6271
1119.0,647.0,3,263.7282,30.6277
1120.0,646.0,3,265.2407,30.8383
1121.0,645.0,3,266.7618,31.0504
1122.0,645.0,3,268.2916,31.051
1123.0,644.0,3,269.8302,31.2645
1124.0,644.0,3,271.3776,31.2651
1125.0,643.0,3,272.9339,31.4801
1126.0,642.5,4,274.4991,31.5884
1127.0,642.0,3,276.0733,31.6972
1128.0,641.5,4,277.6565,31.8062
1129.0,641.5,4,279.2488,31.8068
1130.0,640.5,4,280.8503,32.0256
1131.0,640.0,5,282.4609,32.1358
1132.0,639.0,3,284.0807,32.3568
1133.0,638.5,4,285.7099,32.4681
1217.0,595.5,6,461.8884,43.6265
1219.0,594.5,6,467.2012,43.9272
1220.0,594.5,6,469.8805,43.928
1221.0,593.5,6,472.5752,44.23
1222.0,593.0,5,475.2853,44.3822
1223.0,592.5,6,478.011,44.5349
1224.0,592.0,5,480.7522,44.6882
1225.0,591.5,6,483.5093,44.8419
1226.0,591.0,5,486.2821,44.9962
1227.0,590.5,6,489.0708,45.151
1228.0,590.0,5,491.8755,45.3064
1229.0,589.5,6,494.6963,45.4623
1230.0,589.0,5,497.5333,45.6187
1231.0,588.5,6,500.3866,45.7757
1232.0,588.0,5,503.2562,45.9332
1233.0,587.5,6,506.1422,46.0912
1252.0,576.5,6,564.2331,49.7062
1273.0,566.5,6,636.2262,53.2414
1274.0,566.5,6,639.8748,53.2424
1275.0,565.5,6,643.5443,53.6084
1276.0,565.0,5,647.2349,53.7928
1277.0,564.5,6,650.9467,53.9778
1278.0,564.5,6,654.6797,53.9788
1304.0,550.5,6,759.6249,59.4248
1305.0,550.5,6,763.9812,59.4258
1354.0,526.5,6,1011.0505,70.0749
1355.0,526.5,6,1016.8487,70.0761
1356.0,526.5,6,1022.6801,70.0774
1357.0,525.5,6,1028.545,70.559
1358.0,525.5,6,1034.4435,70.5602
1359.0,524.5,6,1040.3758,71.0452
1360.0,524.5,6,1046.3421,71.0464
1361.0,523.5,6,1052.3427,71.5347
1362.0,523.0,5,1058.3776,71.7807
1363.0,522.5,6,1064.4472,72.0276
1364.0,522.0,5,1070.5516,72.2753
1365.0,521.5,6,1076.691,72.5239
1366.0,520.5,6,1082.8656,73.0223
1367.0,520.5,6,1089.0756,73.0236
1369.0,519.5,6,1101.6026,73.5268
1371.0,518.5,6,1114.2738,74.0334
1372.0,518.5,6,1120.6639,74.0347
1373.0,517.5,6,1127.0907,74.5435
1374.0,516.5,6,1133.5543,75.0558
1375.0,516.5,6,1140.055,75.0571
1376.0,515.5,6,1146.593,75.5729
1377.0,515.5,6,1153.1685,75.5743
1378.0,514.5,6,1159.7816,76.0936
1380.0,513.5,6,1173.122,76.6179
1382.0,512.5,6,1186.6158,77.1458
1383.0,512.5,6,1193.4208,77.1472
1384.0,512.5,6,1200.2648,77.1485
1385.0,511.5,6,1207.1481,77.6787
1386.0,511.5,6,1214.0708,77.6801
1387.0,510.5,6,1221.0332,78.2139
1388.0,510.5,6,1228.0356,78.2153
1389.0,509.5,6,1235.0781,78.7528
1390.0,508.5,4,1242.1611,79.294
1391.0,508.0,5,1249.2846,79.5667
1392.0,507.5,4,1256.449,79.8403
1393.0,506.5,4,1263.6544,80.389
1394.0,506.0,5,1270.9012,80.6654
1395.0,505.5,4,1278.1896,80.9428
1396.0,505.0,5,1285.5197,81.2212
1397.0,504.5,4,1292.8919,81.5005
1398.0,504.0,5,1300.3064,81.7808
1399.0,503.5,4,1307.7634,82.062
1400.0,503.0,3,1315.2631,82.3442
1401.0,502.5,4,1322.8059,82.6274
1402.0,501.5,4,1330.3919,83.1952
1403.0,501.5,4,1338.0214,83.1966
1404.0,500.5,4,1345.6947,83.7683
1405.0,500.5,4,1353.412,83.7698
1406.0,499.5,4,1361.1735,84.3455
1407.0,498.5,4,1368.9795,84.9251
1408.0,498.5,4,1376.8304,84.9265
1409.0,497.5,4,1384.7262,85.5102
1410.0,497.5,4,1392.6673,85.5116
1411.0,496.5,4,1400.654,86.0993
1412.0,496.0,3,1408.6864,86.3953
1413.0,495.5,4,1416.7649,86.6924
1414.0,495.0,3,1424.8898,86.9905
1415.0,494.5,4,1433.0612,87.2897
1416.0,494.0,3,1441.2795,87.5898
1417.0,493.5,4,1449.545,87.891
1418.0,493.0,3,1457.8578,88.1932
1419.0,492.5,4,1466.2183,88.4965
1420.0,492.0,3,1474.6268,88.8008
1421.0,491.0,3,1483.0834,89.411
1422.0,491.0,3,1491.5886,89.4126
1424.0,491.0,5,1508.7456,89.4156
1425.0,490.5,6,1517.3979,89.7231
1427.0,490.5,6,1534.8517,89.7262
1429.0,489.5,6,1552.5063,90.3443
1430.0,488.5,6,1561.4096,90.9651
1431.0,488.0,5,1570.364,91.2779
1432.0,487.5,6,1579.3697,91.5918
1434.0,486.5,6,1597.5363,92.2227
1435.0,485.5,6,1606.6979,92.8564
1436.0,485.0,5,1615.9119,93.1757
1437.0,484.5,6,1625.1788,93.4961
1458.0,473.5,6,1832.5427,100.828
1459.0,473.5,6,1843.0519,100.8298
1460.0,472.5,6,1853.6215,101.5226
1461.0,472.0,5,1864.2516,101.8716
1462.0,471.5,6,1874.9427,102.2219
1463.0,471.0,5,1885.6951,102.5733
1464.0,471.0,5,1896.5092,102.5751
1465.0,470.0,5,1907.3852,103.2799
1466.0,469.5,6,1918.3237,103.635
1467.0,469.0,5,1929.3249,103.9913
1468.0,468.5,6,1940.3891,104.3488
1469.0,468.0,5,1951.5169,104.7076
1470.0,467.5,6,1962.7084,105.0676
1471.0,467.0,5,1973.9641,105.4288
1472.0,466.5,6,1985.2844,105.7913
1473.0,465.5,6,1996.6696,106.5182
1474.0,465.5,6,2008.1201,106.52
1475.0,464.5,6,2019.6362,107.2518
1476.0,464.0,5,2031.2184,107.6206
1477.0,463.5,6,2042.867,107.9906
1478.0,462.5,6,2054.5824,108.7326
1479.0,462.5,6,2066.365,108.7344
1480.0,461.5,6,2078.2152,109.4815
1481.0,461.5,6,2090.1333,109.4833
1482.0,460.5,6,2102.1198,110.2356
1483.0,460.5,6,2114.175,110.2374
1485.0,459.5,6,2138.4933,110.9967
1486.0,459.5,6,2150.7571,110.9986
1487.0,459.5,6,2163.0912,111.0005
1488.0,458.5,6,2175.4961,111.7631
1489.0,458.5,6,2187.9721,111.765
1491.0,457.5,6,2213.1392,112.5348
1505.0,449.5,6,2397.6034,118.8829
1507.0,448.5,6,2425.1818,119.7017
1524.0,441.0,1,2672.7808,126.029
1525.0,440.5,2,2688.1087,126.4622
1526.0,439.5,2,2703.5244,127.331
1527.0,439.0,1,2719.0285,127.7687
1528.0,438.5,2,2734.6216,128.2079
1529.0,438.0,1,2750.3041,128.6486
1530.0,437.5,2,2766.0765,129.0908
1531.0,437.0,1,2781.9394,129.5346
1532.0,436.0,1,2797.8932,130.4245
1533.0,435.5,2,2813.9385,130.8728
1534.0,435.0,1,2830.0759,131.3227
1535.0,434.5,2,2846.3058,131.7741
1536.0,434.0,1,2862.6287,132.227
1537.0,433.0,1,2879.0453,133.1354
1538.0,432.5,2,2895.556,133.593
1539.0,432.0,1,2912.1614,134.0522
1540.0,431.5,2,2928.8621,134.513
1541.0,431.0,1,2945.6585,134.9754
