# Verbatim transcription of every equation, constant and claim this page uses
# from Andrews, J. F., "A Mathematical Model for the Continuous Culture of
# Microorganisms Utilizing Inhibitory Substrates", Biotechnol. Bioeng. 10(6)
# 707-723 (1968).  Read on 300 ppi renders of the file's native CCITT-G4 images
# (pdfimages -list reports every page as 300x300 ppi), cropped to digit scale.
#
# THE PAPER PRINTS NO TABLE.  Every parameter set is typeset inside a FIGURE
# LEGEND; reading those legends is transcription, not digitising, and no curve
# is digitised anywhere on this page.  `page` is the BOOK page as printed on the
# page itself (707-723), not the PDF index.
#
# DEFECTS AND ODDITIES ARE FLAGGED, NEVER REPAIRED.
assumptions,711,Batch Culture,"the model has been kept as simple as possible by assuming that there is no lag phase, organism death, endogenous respiration, substrate used for maintenance energy, or inhibition by products.","NO LAG PHASE IS ASSUMED. The lag the Summary claims is therefore an APPARENT lag produced by the kinetics, not a modelled lag phase - which is what makes the batch claim testable rather than tautological"
eq4,711,eq. (4),"dX/dt = [ muhat / (1 + K_s/S + S/K_i) ] X",
eq5,711,eq. (5),"dS/dt = -(1/Y) [ muhat / (1 + K_s/S + S/K_i) ] X",
sym_Y,711,prose,"Y = yield coefficient, mass organisms produced/mass substrate utilized","DIMENSIONLESS. Two figure legends nevertheless print its units as GM/L - see flag on fig4_params and fig7_params"
eq6,711,eq. (6),"mu = muhat [ S / ( (S)^2/K_i + S + K_s ) ]","algebraically identical to eq. (1) and the form Andrews says he actually computed with: 'In developing the block diagram it was more convenient to use the inhibition function in the form'. Unlike eq. (1) it is finite at S = 0, which is where every batch and startup simulation begins"
eq7,711,eq. (7),"dX_1/dt = X_0/theta - X_1/theta + [ muhat / (1 + K_s/S_1 + S_1/K_i) ] X_1",
eq8,711,eq. (8),"dS_1/dt = S_0/theta - S_1/theta - (1/Y) [ muhat / (1 + K_s/S_1 + S_1/K_i) ] X_1",
sym_theta,711,prose,"theta = mean residence time in the reactor; X_0 = organism concentration in the influent to the reactor, mass/volume; X_1 = organism concentration in the effluent from the reactor, mass/volume; S_0 = substrate concentration in the influent to the reactor, mass/volume; S_1 = substrate concentration in the effluent from the reactor, mass/volume","X_0 IS NEVER GIVEN A VALUE anywhere in the paper. Every simulation here takes X_0 = 0 (sterile feed); the page shows what a non-zero X_0 does"
eq9,712,eq. (9),"S_1 = { K_i(muhat theta - 1) + [ (K_i)^2 (muhat theta - 1)^2 - 4 K_s K_i ]^0.5 } / 2","PRINTED WITH A BARE + AND NO +-, read at digit scale on a 300 ppi crop. The quadratic has two roots and the running text one paragraph later says so; the root eq. (9) returns is the HIGHER one, which this same paper calls unstable. Reported, NOT repaired"
eq10,712,eq. (10),"X_i = Y(S_0 - S_1)","SUBSCRIPT DEFECT, reported and not repaired. The effluent organism concentration is X_1 everywhere else (eq. 7, Fig. 8, Fig. 9); X_i is the symbol this paper uses for the INITIAL INOCULUM (p. 713, 'The initial innoculum (X_i) has been chosen as 0.005 g/l', and the curve key of Fig. 9). Read at digit scale"
eq11,713,eq. (11),"theta_w = (1/muhat)[ 1 + 2 (K_s/K_i)^0.5 ]","identically 1/muhat_m from eq. (2); the page verifies the two agree to 0 in double precision"
washout_prose,713,prose,"It will be noted that the residence time at which 'washout' occurs increases as the substrate becomes more inhibitory (lower values of K_i).","eq. (11) contains no S_0. The page shows this is one of TWO washout conditions and that the other one does depend on S_0"
batch_ic,713,Simulation Studies / Batch Culture,"The initial innoculum (X_i) has been chosen as 0.005 g/l and the initial substrate concentration (S_i) as 10.0 g/l.","printed 'innoculum' [sic] throughout the paper; quoted as printed"
lag_prose,713,prose,"With the more inhibitory substrates (low K_i) the model indicates a pronounced 'lag' phase.","Andrews' own scare quotes around 'lag'"
seed_procedure,715,prose,"Simulation of this procedure is illustrated in Figure 7 where an original organism innoculum of 0.005 g/l is exposed to a substrate concentration of 2.0 g/l with the substrate concentration being increased in 2.0 g/l steps after reduction in each case to 0.02 g/l.","AMBIGUOUS: 'increased in 2.0 g/l steps' can mean reset to 2.0 or incremented by 2.0 from 0.02. The page computes BOTH and they differ by 0.04 %"
stated_12p5_and_36,715,prose,"It can be seen that only 12.5 hr are required to obtain an organism concentration of 5 g/l using this procedure as compared to the 36 hr required if the original innoculum was exposed to the full 10 g/l of substrate at the beginning.","THE TWO STATED NUMERICAL RESULTS THIS PAGE REPRODUCES. 'It can be seen' means Andrews read them off his own Figure 7, so they carry his reading precision, not his solver's"
summary_restated,715,Simulation Studies / Continuous Culture,"The primary result of inhibition by substrate in a batch culture is an increase in the lag time. However, in the absence of organism death, the substrate will eventually be metabolized. Such is not the case in continuous cultures where high concentrations of inhibitory substrates may result in process instability with 'washout' of the organisms.","the Summary's two claims restated in the body, and the reason they differ"
stated_fig8,719,prose,"...it is assumed that the substrate concentration (and associated organism concentration) is at the higher 'steady-state' value for an influent substrate concentration (S_0) of 5.0 g/l and a residence time (theta) of 3.0 hr. When S_0 is increased to 5.2 g/l organism washout occurs and the effluent substrate concentration (S_1) approaches S_0 as a limit. When S_0 is decreased to 4.8 g/l the process recovers with a decrease in S_1 and increase in X_1.","a DIRECTION test, not a threshold test: the threshold is exactly S_0 = 5.0 by construction, because the initial state IS the steady state at S_0 = 5.0"
stated_fig9,719,prose,"At time 0+ the reactor is abruptly converted from a batch reactor to a continuous-flow reactor with a residence time (theta) of 3 hr and S_0 = 5.0 g/l. The process fails when X_i = 0.10 g/l but recovers when X_i = 0.50 g/l.","S_1(0) IS NOT PRINTED. The page takes S_1(0) = 0 - the natural reading of a batch that has been converted - and reports the threshold's sensitivity to that choice"
stated_fig10,719,prose,"During continuous-flow operation failure may occur due to step chances in S_0. The effect of step forcing S_0 from 5 to 20 g/l is shown in Figure 10. ... As an example, the ramp forcing of S_0 from 5 to 20 g/l in one hour is also shown in Figure 10. Under these conditions the process recovers.","printed 'step chances' [sic] for 'step changes'; quoted as printed. The initial state is not printed either; the page takes the stable steady state at S_0 = 5, theta = 3"
fig1_params,710,Fig. 1 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; curves K_i = 2.0 GM/L, K_i = 0.50 GM/L, NO INHIBITION","Fig. 1 'Substrate inhibition function.' K_i = 0.50 < 4 K_s? No: 4 K_s = 0.12, so both curves satisfy K_i >= 4 K_s"
fig4_params,714,Fig. 4 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; Y = 0.5 GM/L ; S_0 = 10.0 GM/L ; curves K_i = 2.0 GM/L, K_i = 1.0 GM/L, NO INHIBITION","PRINTED UNIT DEFECT, reported and not repaired: Y is given as GM/L. The text on p. 711 defines Y as 'mass organisms produced/mass substrate utilized' (dimensionless), eq. (5) requires it dimensionless, and five of the seven legends that carry Y print GM/GM. The numeral 0.5 is not in question, only the unit"
fig5_params,716,Fig. 5 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; Y = 0.5 GM/GM ; X_i = 0.005 GM/L ; S_i = 10.0 GM/L ; curves K_i = 10.0, 5.0, 2.0 GM/L","'Effect of K_i on organism growth in batch culture.' The K_i = 2.0 curve is the 36 hr case of the p. 715 sentence"
fig6_params,717,Fig. 6 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; K_i = 2.0 GM/L ; Y = 0.5 GM/GM ; S_i = 10.0 GM/L ; curves X_i = 0.125, 0.025, 0.005 GM/L",
fig7_params,718,Fig. 7 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; K_i = 2.0 GM/L ; Y = 0.5 GM/L ; X_i = 0.005 GM/L","SAME PRINTED UNIT DEFECT as Fig. 4: Y as GM/L. This is the legend of the figure the 12.5 hr and 36 hr sentence refers to"
fig7_annotation,718,"Fig. 7, typeset annotation inside the plot, on the acclimated-seed curve","REPEATED ORGANISM SEPARATION & DILUTION. S_i ADDED IN INCREMENTS OF 2.0 GM/L","THIS SETTLES THE p.715 SENTENCE, and it is the reason this page reports the INCREMENT reading. 'S_i ADDED IN INCREMENTS OF 2.0 GM/L' means 2.0 g/l of substrate is ADDED each cycle to the 0.02 g/l left behind, so each cycle starts at 2.02 g/l - not reset to 2.0, and not a 2/4/6 ladder, which would not be increments OF 2.0. Read at digit scale on a 300 ppi crop of the rotated landscape page; the subscript is a dotted italic i, matching X_i and S_i elsewhere. Transcribing it closes a raw 11.54 % spread between the three literal readings of the prose down to 0.042 %"
fig7_annotation_control,718,"Fig. 7, typeset annotation inside the plot, on the control curve","NO ORGANISM SEPARATION & DILUTION. S_i = 10.0 GM/L","the other curve of Fig. 7: the direct-exposure control, i.e. the 36 hr case of the p.715 sentence. Read on the same crop"
fig8_params,720,Fig. 8 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; K_i = 2.0 GM/L ; Y = 0.5 GM/GM ; theta = 3 HRS ; S_0 = 5 GM/L",
fig9_params,721,Fig. 9 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; K_i = 2.0 GM/L ; Y = 0.5 GM/GM ; theta = 3 HRS ; S_0 = 5 GM/L ; curves X_i = 0.10 GM/L, X_i = 0.50 GM/L","THE PARAMETER SET THIS PAGE'S CONTINUOUS-CULTURE SECTION USES, read at digit scale on a 300 ppi crop of the rotated landscape page"
fig10_params,722,Fig. 10 legend,"muhat = 1.0 HR^-1 ; K_s = 0.03 GM/L ; K_i = 2.0 GM/L ; Y = 0.5 GM/GM ; theta = 3 HRS ; S_0 = 5 GM/L ; curves STEP S_0 = 5->20 GM/L, RAMP S_0 = 5->20 GM/L IN 1 HOUR",
solver,708,prose,"Analytical solutions of the nonlinear differential equations representing the dynamic behaviour of microbial systems are usually unavailable. However, these equations can be solved using the analog computer or one of the digital-analog simulation programs. The solutions presented in this paper were obtained using PACTOLUS on the IBM 360 computer.","the paper's own numbers are SIMULATION OUTPUT, so reproducing them is reproduction, not validation. PACTOLUS = reference 8, R. D. Brennan, IBM Research RJ 297 (1964) - not on disk, not consulted"
ref_monod,723,reference 1,"J. Monod, Recherces sur la croissance des cultures bacteriennes, Hermann et Cie, Paris, 1942.","'Recherces' [sic] for 'Recherches', read at digit scale. Note the YEAR: Andrews cites the 1942 edition; J4.1's Levenspiel cites 'Recherches ... Second ed., Herman, Paris, 1958' and Froment and Rawlings both cite the 1949 Annual Review of Microbiology article. Three documents, three different Monod publications. NONE of them is on disk and NONE was consulted"
ref_moser,723,reference 2,"H. Moser, The Dynamics of Bacterial Populations Maintained in the Chemostat, Carnegie Inst. of Washington, 1958.","J4.1 could not attribute the Moser growth law to Moser personally, because Rawlings & Ekerdt cite the five laws to two textbooks. THIS reference list carries the primary citations for three of the four alternatives"
ref_teissier,723,reference 3,"G. Teissier, Ann. Physiol. Physicochim. Biol., 12, 527, 1936.","spelled TEISSIER here; Rawlings & Ekerdt, quoted on J4.1, spell the growth law 'Tessier'. Neither is repaired"
ref_contois,723,reference 4,"D. E. Contois, J. Gen. Microbiol., 21, 40, 1959.",
ref_haldane,723,reference 9,"J. B. S. Haldane, Enzymes, Longmans, London, 1930.","the origin of the inhibition function. NOT ON DISK, NOT CONSULTED; nothing on this page is attributed to Haldane beyond what Andrews prints about him"
ref_dixonwebb,723,reference 11,"M. Dixon and E. C. Webb, Enzymes, Academic Press, New York, 1964.","cited on p. 709 for 'a more detailed treatment of the properties of this function ... with techniques which may be used to evaluate the function parameters from experimental data'. NOT ON DISK, NOT CONSULTED - which is why THIS PAGE FITS NOTHING TO DATA"
future_work,723,Discussion and Conclusions,"Operational changes currently being investigated are (1) organism separation and recycle, (2) multistage operation with separate substrate supply to each reactor, and (3) recycle without organism separation in a fixed-film reactor. The general effect of these modifications should be to increase process stability.","Andrews' own list of stabilising modifications. The page's plug-flow solve is the limit of (2) and is shown to have no bistability at all; his prediction is confirmed in that limit and nowhere else"
