# Bhatia, S. K. & Perlmutter, D. D. (1980), AIChE Journal 26(3) 379-386.
# EVERY NUMBER THE PAPER PRINTS OUTSIDE ITS EQUATIONS that this page uses.
# THE PAPER CONTAINS NO TABLE AT ALL. Its eight pages carry eight FIGURES
# (Figs. 1-8), a NOTATION list and a LITERATURE CITED list, and nothing else
# tabular; every entry below is a value printed in the RUNNING TEXT or in a
# FIGURE-FRAME CAPTION as typeset text. NO CURVE, NO AXIS COORDINATE AND NO
# DATA POINT IS READ FROM ANY FIGURE ANYWHERE ON THIS PAGE. In particular
# Figure 8 - the only comparison with experiment in the paper - is NOT
# digitised; the two numbers this page uses from that comparison (S_o and the
# two psi values) are printed in prose on p. 385.
# Every value was read off a crop of a 300 ppi native render (pdfimages -list:
# CCITT-G4 bilevel, 300 x 300 ppi on all 8 pages); the text layer was used only
# as a search index and for no digit. Transcribed 2026-08-13.
key,printed,units,where,what_it_is
opt_group,0.67,-,p. 383 left column after ineq. (36),"'for a solid where (S_o^2/2 pi L_o) = 0.67'"
opt_eps_o,0.1,-,p. 383 left column after ineq. (36),"'the initial eps_o should be 0.1 to maximize the final surface area'"
opt_group_violated,0.64,-,p. 383 left column after ineq. (36),"'If the value of (S_o^2/2 pi L_o) <= 0.64, inequality (36) is violated'"
m_range_lo,0.49,-,p. 384 left column,"'For 0 <= psi <= 2, the best fit gives 0.49 <= m <= 1'"
m_range_hi,1,-,p. 384 left column,upper end of the same printed range
m_psi_window_hi,2,-,p. 384 left column,"the psi window over which that m range is claimed"
psi_ratemax,2,-,p. 384 left column,"'the order of reaction model cannot under any circumstance represent a rate maximum such as must develop when psi > 2'"
fig7_AB_So,2500,cm2/cm3,Fig. 7 caption p. 384,"'parameters used for curves A and B are S_o = 2 500 cm2/cm3'"
fig7_AB_Lo,3140000,cm/cm3,Fig. 7 caption p. 384,"'L_o = 3.14 x 10^6 cm/cm3' for curves A and B"
fig7_eps_o,0.3,-,Fig. 7 caption p. 384,"'for all calculations, eps_o = 0.3'"
fig7_C_So,12500,cm2/cm3,Fig. 7 caption p. 384 AND p. 384 right-column running text,"curve C: 'S_o = 12 500 cm2/cm3' in the caption, 'S_o = 12,500 cm2/cm3' in the text"
fig7_C_Lo,3140000,cm/cm3,Fig. 7 caption p. 384 AND p. 384 right-column running text,curve C's pore length
fig7_agreement_X,0.75,-,p. 384 right column,"'Curves A and B are in good agreement up to about 75% conversion and diverge thereafter'"
conclusions_agreement_X,0.75,-,p. 379 CONCLUSIONS AND SIGNIFICANCE,"the same claim from the other side: 'some deviation between the prior model and the new one is found at high conversions (above about 75%)'"
hashimoto_So,520,m2/cm3,p. 385 left/right column,"'Estimates of initial BET surface areas obtained from the intercept of Figure 8 give 520 m2/cm3 for both VC and CS chars' - PRINTED IN PROSE, not read from the figure"
hashimoto_psi_VC,6.9,-,p. 385 right column,"'The two slopes give psi = 6.9 ... for the VC ... char' - PRINTED IN PROSE"
hashimoto_psi_CS,13.7,-,p. 385 right column,"'... and psi = 13.7 for the ... CS char' - PRINTED IN PROSE"
hashimoto_mineral_lo,0.02,-,p. 385 left column,"'the CS and VC materials have very small mineral matter content (2 to 3%)'"
hashimoto_mineral_hi,0.03,-,p. 385 left column,upper end of that range
eta_min,0.98,-,p. 385 right column,"'Thiele moduli based on the initial surface areas are small enough to assure effectiveness factors over 0.98 in all cases'"
n_figures,8,-,pp. 379-386,"the paper's figure count; Figs. 1-8, verified by reading all eight pages at 300 ppi"
n_tables,0,-,pp. 379-386,"the paper's table count: THERE IS NO TABLE. See the .meta.yaml sidecar for the search."
