# Exact isothermal effectiveness factor for a first-order reaction.
#
# THIS IS NOT EXPERIMENTAL DATA. Thiele (1939) is an analytical paper and
# Weisz & Hicks (1962) is a computational one; neither reports measurements.
# These are the closed-form solutions, tabulated here so the page's validation
# is reproducible and machine-checkable (provenance tier 6, see
# docs/data-strategy.md).
#
#   slab      eta = tanh(phi)/phi
#   cylinder  eta = 2*I1(phi)/(phi*I0(phi))
#   sphere    eta = (3/phi^2)*(phi*coth(phi) - 1)
#
# phi is built on the half-thickness (slab) or the radius (cylinder, sphere):
#   phi = L*sqrt(k/D_eff)  or  R*sqrt(k/D_eff)
#
# columns:
#   geometry - slab | cylinder | sphere
#   phi      - Thiele modulus [-]
#   eta      - effectiveness factor [-]
geometry,phi,eta
cylinder,16.4704,0.11768377
cylinder,18.735,0.10386266
cylinder,21.311,0.091619184
cylinder,24.2412,0.080784177
cylinder,27.5742,0.071203903
cylinder,31.3656,0.062739362
cylinder,35.6782,0.055265415
cylinder,40.5838,0.048669801
cylinder,46.1639,0.042852102
cylinder,52.5112,0.037722717
cylinder,59.7312,0.033201853
cylinder,67.944,0.029218584
cylinder,77.286,0.025709952
cylinder,87.9124,0.022620147
cylinder,100,0.019899747
sphere,0.05,0.99983337
sphere,0.0568748,0.99978442
sphere,0.0646948,0.99972108
sphere,0.07359,0.99963915
sphere,0.0837083,0.99953317
sphere,0.0952178,0.99939609
sphere,0.10831,0.9992188
sphere,0.123202,0.99898955
sphere,0.140142,0.99869313
sphere,0.159411,0.99830998
sphere,0.181329,0.99781483
sphere,0.206261,0.99717521
sphere,0.23462,0.99634935
sphere,0.26688,0.99528366
sphere,0.303574,0.9939096
sphere,0.345315,0.99213974
sphere,0.392794,0.98986305
sphere,0.446801,0.98693933
sphere,0.508234,0.98319282
sphere,0.578114,0.97840522
sphere,0.657602,0.97230876
sphere,0.748019,0.96458031
sphere,0.850869,0.95483821
sphere,0.967859,0.94264455
sphere,1.10094,0.92751634
sphere,1.25231,0.90894978
sphere,1.4245,0.88646134
sphere,1.62036,0.85964742
sphere,1.84315,0.82825901
sphere,2.09657,0.79228067
sphere,2.38484,0.75199467
sphere,2.71275,0.70800692
sphere,3.08574,0.66121625
sphere,3.51001,0.61272412
sphere,3.99262,0.56370387
sphere,4.54159,0.51526426
sphere,5.16604,0.4683432
sphere,5.87635,0.42365195
sphere,6.68432,0.3816691
sphere,7.60338,0.34266861
sphere,8.64881,0.30676257
sphere,9.83798,0.27394429
sphere,11.1907,0.24412492
sphere,12.7293,0.21716182
sphere,14.4796,0.19287969
sphere,16.4704,0.17108579
sphere,18.735,0.15158087
sphere,21.311,0.13416668
sphere,24.2412,0.11865115
sphere,27.5742,0.10485162
sphere,31.3656,0.092596901
sphere,35.6782,0.08172824
sphere,40.5838,0.072099732
sphere,46.1639,0.063578189
sphere,52.5112,0.056042729
sphere,59.7312,0.049384145
sphere,67.944,0.04350416
sphere,77.286,0.038314626
sphere,87.9124,0.033736694
sphere,100,0.0297
