# Langmuir, I. (1918), J. Am. Chem. Soc. 40(9) 1361-1403, TABLES II-XI and XIII-XVII.
# Every adsorption isotherm point the paper prints, on mica and on glass.
# Transcribed 2026-08-07 off a 300 ppi NATIVE render, cropped and read at digit scale.
# THE PDF TEXT LAYER WAS NOT USED FOR ANY DIGIT. It silently altered eq. (37)'s
# exponent (10^15 -> 10^16) and half of the b column of Table X.
#
# p        pressure in BARS (dynes per sq. cm.); 1 bar here = 0.75 micron Hg, NOT 10^5 Pa.
# q_obs    cu. mm. of gas at 20 degC and 760 mm, adsorbed in the bulb.
# q_cal    the paper's own calculated column, where it prints one (blank = not printed).
# q_F      Table VII only: Freundlich's formula q_F = 8.4 p^0.417 as the paper tabulates it.
# q_cal2   Table IX only: the two-term Case II fit (a1,b1,a2,b2) the paper adds.
# bulb     A = the bulb containing the adsorbent; Aprime = the blank bulb (no adsorbent).
#          Bulb Aprime rows carry NO calculated column: they are the uncorrected blank,
#          and the paper says the mica results are "10 to 30% too high" because of them.
table,gas,adsorbent,T_K,method,bulb,p_bars,q_obs_cu_mm,q_cal_cu_mm,q_F_cu_mm,q_cal2_cu_mm
V,Ar,mica,90,I,Aprime,52.8,0.8,,,
V,Ar,mica,90,I,Aprime,33.9,-1.2,,,
VI,O2,mica,90,I,A,42.0,15.0,15.4,,
VI,O2,mica,90,I,A,28.4,14.3,14.0,,
VI,O2,mica,90,I,A,4.65,5.25,5.45,,
VI,O2,mica,90,I,A,3.36,4.18,4.26,,
VI,O2,mica,90,I,Aprime,50.2,3.7,,,
VI,O2,mica,90,I,Aprime,32.8,4.5,,,
VII,N2,mica,90,II,A,34.0,33.0,32.8,36.8,
VII,N2,mica,90,II,A,23.8,30.8,30.7,31.6,
VII,N2,mica,90,II,A,17.3,28.2,28.4,27.3,
VII,N2,mica,90,II,A,13.0,25.5,26.0,24.2,
VII,N2,mica,90,II,A,9.5,23.9,23.2,21.2,
VII,N2,mica,90,II,A,7.4,21.6,20.8,19.1,
VII,N2,mica,90,II,A,6.1,19.0,19.0,17.7,
VII,N2,mica,90,II,A,5.0,17.0,17.0,16.3,
VII,N2,mica,90,II,A,4.0,15.1,15.0,14.9,
VII,N2,mica,90,II,A,3.4,13.4,13.5,13.9,
VII,N2,mica,90,II,A,2.8,12.0,11.8,12.9,
VIII,CH4,mica,90,II,A,13.4,85.0,84.8,,
VIII,CH4,mica,90,II,A,11.1,80.4,79.8,,
VIII,CH4,mica,90,II,A,9.6,75.9,75.6,,
VIII,CH4,mica,90,II,A,8.55,71.6,72.4,,
VIII,CH4,mica,90,II,A,7.4,67.9,68.1,,
VIII,CH4,mica,90,II,A,6.68,64.2,64.9,,
VIII,CH4,mica,90,II,A,5.85,61.2,60.8,,
IX,CH4,mica,90,II,A,122.0,104.0,101.6,,104.2
IX,CH4,mica,90,II,A,83.0,98.6,98.5,,99.3
IX,CH4,mica,90,II,A,45.0,90.2,91.5,,90.4
IX,CH4,mica,90,II,A,25.8,82.2,82.2,,80.2
IX,CH4,mica,90,II,A,17.3,71.2,73.5,,71.8
IX,CH4,mica,90,II,A,12.8,60.6,65.9,,65.6
IX,CH4,mica,90,II,A,8.0,52.7,53.6,,54.6
IX,CH4,mica,90,II,A,5.2,43.7,41.8,,44.3
IX,CH4,mica,90,II,A,3.7,36.3,33.8,,36.2
IX,CH4,mica,90,II,A,2.7,30.6,27.0,,29.9
X,N2,mica,155,I,A,65.8,6.2,6.3,,
X,N2,mica,155,I,A,37.5,4.8,4.7,,
X,N2,mica,155,I,A,3.9,0.43,0.75,,
X,N2,mica,155,I,A,2.2,0.43,0.43,,
X,CH4,mica,155,I,A,61.6,8.9,8.9,,
X,CH4,mica,155,I,A,35.9,6.1,6.1,,
X,CH4,mica,155,I,A,4.1,0.40,0.89,,
X,CH4,mica,155,I,A,1.3,0.46,0.29,,
X,CO,mica,155,I,A,64.3,6.2,,,
X,CO,mica,155,I,A,37.1,4.1,,,
X,Ar,mica,155,I,A,63.0,6.8,,,
X,Ar,mica,155,I,A,36.0,5.2,,,
X,O2,mica,155,I,A,65.2,3.5,,,
X,O2,mica,155,I,A,36.4,2.9,,,
X,CO2,mica,155,I,A,42.0,48.2,48.5,,
X,CO2,mica,155,I,A,26.4,42.6,42.1,,
X,CO2,mica,155,I,A,1.31,5.38,5.5,,
X,CO2,mica,155,I,A,1.14,4.82,4.85,,
XI,CO2,mica,155,II,A,172.0,55.0,53.6,,
XI,CO2,mica,155,II,A,98.0,49.9,51.1,,
XI,CO2,mica,155,II,A,41.4,44.6,44.6,,
XI,CO2,mica,155,II,A,20.6,35.2,36.4,,
XI,CO2,mica,155,II,A,11.9,26.9,28.8,,
XI,CO2,mica,155,II,A,7.3,21.1,22.0,,
XI,CO2,mica,155,II,A,4.8,16.9,16.6,,
XI,CO2,mica,155,II,A,3.19,13.8,12.2,,
XI,CO2,mica,155,II,A,2.06,9.2,8.6,,
XI,CO2,mica,155,II,A,1.60,6.2,6.9,,
XIII,CO,glass,90,II,A,61.6,20.0,20.2,,
XIII,CO,glass,90,II,A,31.5,18.5,18.4,,
XIII,CO,glass,90,II,A,17.3,16.2,16.2,,
XIII,CO,glass,90,II,A,9.7,14.0,13.9,,
XIII,CO,glass,90,II,A,5.8,11.8,11.9,,
XIII,CO,glass,90,II,A,2.7,9.6,9.6,,
XIII,CO,glass,90,II,A,1.4,8.3,8.2,,
XIII,CO,glass,90,II,Aprime,82.0,1.0,,,
XIII,CO,glass,90,II,Aprime,40.1,0.7,,,
XIV,Ar,glass,90,II,A,73.0,9.4,9.3,,
XIV,Ar,glass,90,II,A,37.3,7.5,7.75,,
XIV,Ar,glass,90,II,A,19.6,6.3,5.93,,
XIV,Ar,glass,90,II,A,10.6,4.3,4.15,,
XIV,Ar,glass,90,II,A,5.7,2.56,2.67,,
XIV,Ar,glass,90,II,A,2.2,1.20,1.20,,
XIV,Ar,glass,90,II,A,1.0,0.40,0.57,,
XIV,Ar,glass,90,II,Aprime,76.0,1.0,,,
XIV,Ar,glass,90,II,Aprime,37.5,0.6,,,
XV,O2,glass,90,II,A,71.0,7.1,7.15,,
XV,O2,glass,90,II,A,35.5,6.3,6.24,,
XV,O2,glass,90,II,A,18.5,5.0,5.01,,
XV,O2,glass,90,II,A,9.7,3.5,3.66,,
XV,O2,glass,90,II,A,5.0,2.19,2.40,,
XV,O2,glass,90,II,A,1.3,1.15,0.79,,
XV,O2,glass,90,II,A,0.7,0.63,0.44,,
XV,O2,glass,90,II,Aprime,81.0,-0.1,,,
XV,O2,glass,90,II,Aprime,39.0,0.1,,,
XVI,CH4,glass,90,II,A,67.0,20.3,20.2,,
XVI,CH4,glass,90,II,A,34.8,17.3,17.5,,
XVI,CH4,glass,90,II,A,19.3,14.3,14.4,,
XVI,CH4,glass,90,II,A,11.6,11.3,11.5,,
XVI,CH4,glass,90,II,A,7.0,9.0,8.9,,
XVI,CH4,glass,90,II,A,3.4,6.14,5.98,,
XVI,CH4,glass,90,II,A,1.9,4.35,4.42,,
XVI,CH4,glass,90,II,Aprime,80.0,0.2,,,
XVI,CH4,glass,90,II,Aprime,39.0,0.3,,,
XVII,N2,glass,90,I,A,73.0,11.7,,,
XVII,N2,glass,90,I,A,36.5,10.3,,,
XVII,N2,glass,90,I,Aprime,82.4,0.8,,,
XVII,N2,glass,90,I,Aprime,40.8,-0.7,,,
